,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,ATLANTA HAWKS,Player Stats - All Splits,Trae Young,36,36,35.6,27.5,0.7,2.2,2.9,9.8,0.8,0.1,3.9,1.6,2.5
1,ATLANTA HAWKS,Player Stats - All Splits,Dejounte Murray,35,35,36.4,20.4,0.7,4.7,5.4,6.1,1.7,0.3,2.4,1.5,2.6
2,ATLANTA HAWKS,Player Stats - All Splits,Bogdan Bogdanovic,17,3,30.8,16.4,0.3,3.6,3.9,2.5,0.8,0.4,1.4,1.4,1.9
3,ATLANTA HAWKS,Player Stats - All Splits,De'Andre Hunter,32,32,31.4,15.4,0.7,3.6,4.3,1.2,0.5,0.3,1.2,3.0,1.0
4,ATLANTA HAWKS,Player Stats - All Splits,John Collins,32,32,31.2,13.3,1.1,7.0,8.1,1.3,0.8,1.4,1.3,3.3,1.0
5,ATLANTA HAWKS,Player Stats - All Splits,Clint Capela,27,27,27.5,12.0,4.3,7.6,11.9,0.7,0.6,1.3,1.0,2.4,0.8
6,ATLANTA HAWKS,Player Stats - All Splits,AJ Griffin,36,10,21.0,9.9,0.6,1.6,2.2,1.0,0.9,0.1,0.8,1.2,1.3
7,ATLANTA HAWKS,Player Stats - All Splits,Onyeka Okongwu,39,12,23.9,9.1,2.7,4.5,7.2,0.9,0.6,1.1,1.0,3.2,0.9
8,ATLANTA HAWKS,Player Stats - All Splits,Jalen Johnson,38,6,15.1,5.2,0.7,2.9,3.6,1.0,0.5,0.5,0.5,1.6,2.0
9,ATLANTA HAWKS,Player Stats - All Splits,Aaron Holiday,36,3,16.3,4.8,0.4,1.0,1.4,1.5,0.6,0.2,0.6,1.6,2.5
10,ATLANTA HAWKS,Player Stats - All Splits,Justin Holiday,27,0,15.0,4.5,0.1,0.8,0.9,0.9,0.2,0.4,0.4,1.3,2.0
11,ATLANTA HAWKS,Player Stats - All Splits,Jarrett Culver,10,1,13.7,4.4,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,0.9
12,ATLANTA HAWKS,Player Stats - All Splits,Trent Forrest,15,3,14.1,3.1,0.3,1.4,1.7,1.9,0.4,0.1,0.5,0.9,4.0
13,ATLANTA HAWKS,Player Stats - All Splits,Frank Kaminsky,20,0,7.3,2.7,0.2,1.5,1.6,0.9,0.1,0.0,0.3,0.9,2.8
14,ATLANTA HAWKS,Player Stats - All Splits,Vit Krejci,17,0,6.3,1.5,0.1,0.5,0.6,0.6,0.1,0.1,0.2,0.6,3.3
15,ATLANTA HAWKS,Player Stats - All Splits,Tyrese Martin,11,0,3.8,1.4,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,0.0
