,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,BOSTON CELTICS,Player Stats - All Splits,Jayson Tatum,38,38,36.7,30.8,1.1,7.0,8.1,4.1,1.1,0.8,2.7,2.1,1.5
1,BOSTON CELTICS,Player Stats - All Splits,Jaylen Brown,38,38,35.4,27.0,1.2,5.8,7.0,3.3,1.1,0.5,3.1,2.8,1.1
2,BOSTON CELTICS,Player Stats - All Splits,Malcolm Brogdon,34,0,23.6,13.5,0.8,3.3,4.1,3.9,0.6,0.3,1.6,1.4,2.4
3,BOSTON CELTICS,Player Stats - All Splits,Marcus Smart,36,36,32.6,11.1,0.7,2.7,3.4,7.2,1.3,0.4,2.3,2.7,3.2
4,BOSTON CELTICS,Player Stats - All Splits,Derrick White,40,33,26.2,10.0,0.6,2.5,3.0,3.4,0.8,1.0,1.0,2.3,3.4
5,BOSTON CELTICS,Player Stats - All Splits,Al Horford,31,31,30.3,9.2,1.1,5.3,6.4,2.5,0.4,1.0,0.6,1.8,4.1
6,BOSTON CELTICS,Player Stats - All Splits,Grant Williams,39,14,27.2,8.7,1.1,3.6,4.6,1.6,0.8,0.3,0.9,2.5,1.7
7,BOSTON CELTICS,Player Stats - All Splits,Robert Williams III,9,0,19.4,7.9,3.1,4.6,7.7,1.2,0.6,1.3,0.9,1.7,1.4
8,BOSTON CELTICS,Player Stats - All Splits,Sam Hauser,40,0,15.5,6.1,0.4,2.1,2.5,0.7,0.3,0.2,0.4,1.2,1.9
9,BOSTON CELTICS,Player Stats - All Splits,Blake Griffin,17,8,14.4,4.8,0.9,2.8,3.6,1.2,0.3,0.1,0.4,1.9,3.3
10,BOSTON CELTICS,Player Stats - All Splits,Payton Pritchard,25,1,9.8,4.5,0.4,0.7,1.1,1.0,0.3,0.0,0.7,0.3,1.4
11,BOSTON CELTICS,Player Stats - All Splits,Luke Kornet,33,0,11.8,3.8,1.3,1.8,3.1,0.7,0.2,0.8,0.4,1.3,1.9
12,BOSTON CELTICS,Player Stats - All Splits,Mfiondu Kabengele,1,0,8.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
13,BOSTON CELTICS,Player Stats - All Splits,Noah Vonleh,23,1,7.5,1.1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,0.6
14,BOSTON CELTICS,Player Stats - All Splits,Justin Jackson,17,0,4.5,0.9,0.1,0.4,0.5,0.5,0.2,0.2,0.1,0.3,4.0
15,BOSTON CELTICS,Player Stats - All Splits,JD Davison,3,0,2.7,0.7,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,1.0
