,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,BOSTON CELTICS,Shooting Stats - All Splits,Jayson Tatum,10.1,21.4,47.2,3.2,9.2,35.1,7.4,8.6,85.6,6.9,12.3,56.2,1.437,0.55
1,BOSTON CELTICS,Shooting Stats - All Splits,Jaylen Brown,10.1,20.4,49.7,2.5,7.5,33.5,4.2,5.4,78.5,7.6,12.9,59.1,1.324,0.56
2,BOSTON CELTICS,Shooting Stats - All Splits,Malcolm Brogdon,4.6,9.7,47.4,1.8,4.0,44.5,2.5,2.9,87.6,2.8,5.6,49.5,1.392,0.57
3,BOSTON CELTICS,Shooting Stats - All Splits,Marcus Smart,4.0,9.4,42.4,1.8,5.3,33.9,1.3,1.7,77.4,2.2,4.1,53.4,1.181,0.52
4,BOSTON CELTICS,Shooting Stats - All Splits,Derrick White,3.4,7.5,44.8,1.5,4.1,37.0,1.7,2.0,86.1,1.9,3.5,54.0,1.322,0.55
5,BOSTON CELTICS,Shooting Stats - All Splits,Al Horford,3.5,7.3,48.2,2.0,4.6,42.7,0.2,0.3,60.0,1.5,2.7,57.8,1.261,0.62
6,BOSTON CELTICS,Shooting Stats - All Splits,Grant Williams,3.0,5.8,50.9,1.5,3.5,42.8,1.2,1.4,85.7,1.5,2.3,63.3,1.487,0.64
7,BOSTON CELTICS,Shooting Stats - All Splits,Robert Williams III,3.4,4.1,83.8,0.0,0.0,0.0,1.0,1.3,75.0,3.4,4.1,83.8,1.919,0.84
8,BOSTON CELTICS,Shooting Stats - All Splits,Sam Hauser,2.1,4.7,45.0,1.7,4.1,40.7,0.2,0.3,61.5,0.5,0.7,70.4,1.291,0.62
9,BOSTON CELTICS,Shooting Stats - All Splits,Blake Griffin,1.7,3.5,49.2,0.5,1.5,32.0,0.9,1.2,71.4,1.2,2.0,61.8,1.373,0.56
10,BOSTON CELTICS,Shooting Stats - All Splits,Payton Pritchard,1.7,4.0,42.0,0.8,2.2,36.4,0.3,0.5,66.7,0.9,1.8,48.9,1.120,0.52
11,BOSTON CELTICS,Shooting Stats - All Splits,Luke Kornet,1.6,2.4,68.4,0.1,0.2,33.3,0.5,0.5,83.3,1.6,2.2,71.2,1.582,0.70
12,BOSTON CELTICS,Shooting Stats - All Splits,Mfiondu Kabengele,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.000,0.50
13,BOSTON CELTICS,Shooting Stats - All Splits,Noah Vonleh,0.5,1.0,45.8,0.0,0.2,25.0,0.1,0.1,100.0,0.4,0.9,50.0,1.042,0.48
14,BOSTON CELTICS,Shooting Stats - All Splits,Justin Jackson,0.3,1.2,25.0,0.2,0.8,28.6,0.1,0.1,50.0,0.1,0.4,16.7,0.750,0.35
15,BOSTON CELTICS,Shooting Stats - All Splits,JD Davison,0.3,1.3,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.7,50.0,0.500,0.25
