,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,BROOKLYN NETS,Player Stats - All Splits,Kevin Durant,39,39,36.0,29.7,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,1.5
1,BROOKLYN NETS,Player Stats - All Splits,Kyrie Irving,30,30,36.5,26.0,0.9,4.0,4.9,4.7,0.8,0.8,2.2,2.6,2.1
2,BROOKLYN NETS,Player Stats - All Splits,Nic Claxton,37,37,28.3,11.9,2.5,5.9,8.3,1.5,0.8,2.6,1.2,2.8,1.2
3,BROOKLYN NETS,Player Stats - All Splits,T.J. Warren,16,0,19.9,9.9,0.7,2.5,3.2,1.4,0.8,0.3,0.7,1.7,2.0
4,BROOKLYN NETS,Player Stats - All Splits,Royce O'Neale,37,37,35.1,9.4,0.7,4.2,4.9,4.2,0.9,0.8,1.7,3.2,2.5
5,BROOKLYN NETS,Player Stats - All Splits,Seth Curry,28,1,21.2,9.2,0.2,1.9,2.1,2.1,0.6,0.2,0.9,1.8,2.3
6,BROOKLYN NETS,Player Stats - All Splits,Joe Harris,33,18,24.5,7.9,0.4,2.4,2.8,1.5,0.6,0.3,0.5,2.5,2.8
7,BROOKLYN NETS,Player Stats - All Splits,Ben Simmons,30,25,27.2,7.7,1.0,5.6,6.7,6.0,1.4,0.5,2.1,3.5,2.8
8,BROOKLYN NETS,Player Stats - All Splits,Yuta Watanabe,27,0,18.3,7.3,0.6,2.2,2.8,0.9,0.6,0.4,0.4,1.6,1.9
9,BROOKLYN NETS,Player Stats - All Splits,Edmond Sumner,33,9,14.4,6.8,0.3,1.1,1.4,1.4,0.8,0.2,0.9,1.5,1.5
10,BROOKLYN NETS,Player Stats - All Splits,Cam Thomas,27,0,13.6,6.4,0.1,1.2,1.3,1.4,0.3,0.1,0.7,0.9,1.9
11,BROOKLYN NETS,Player Stats - All Splits,Patty Mills,25,1,12.2,5.7,0.2,0.8,1.0,1.3,0.3,0.0,0.6,0.5,2.2
12,BROOKLYN NETS,Player Stats - All Splits,Markieff Morris,19,1,11.4,4.2,0.5,1.8,2.3,1.0,0.3,0.2,0.6,1.2,1.7
13,BROOKLYN NETS,Player Stats - All Splits,Day'Ron Sharpe,20,1,8.9,3.9,1.3,1.9,3.2,0.7,0.2,0.5,0.8,1.7,0.8
14,BROOKLYN NETS,Player Stats - All Splits,David Duke Jr.,14,0,9.0,3.0,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,0.9
15,BROOKLYN NETS,Player Stats - All Splits,Kessler Edwards,13,1,5.7,1.2,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,0.5
16,BROOKLYN NETS,Player Stats - All Splits,Alondes Williams,1,0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
