,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,BROOKLYN NETS,Shooting Stats - All Splits,Kevin Durant,10.5,18.8,55.9,1.8,4.8,37.6,6.8,7.3,93.4,8.7,14.0,62.2,1.578,0.61
1,BROOKLYN NETS,Shooting Stats - All Splits,Kyrie Irving,9.7,19.8,48.8,3.1,8.6,36.6,3.6,3.9,90.7,6.5,11.2,58.2,1.315,0.57
2,BROOKLYN NETS,Shooting Stats - All Splits,Nic Claxton,5.3,7.2,73.8,0.0,0.0,0.0,1.2,2.6,46.9,5.3,7.2,74.1,1.644,0.74
3,BROOKLYN NETS,Shooting Stats - All Splits,T.J. Warren,4.1,7.7,53.7,0.6,1.8,34.5,1.0,1.1,88.9,3.5,5.9,59.6,1.285,0.58
4,BROOKLYN NETS,Shooting Stats - All Splits,Royce O'Neale,3.3,8.2,40.1,2.3,5.6,41.1,0.5,0.7,65.4,1.0,2.6,38.1,1.138,0.54
5,BROOKLYN NETS,Shooting Stats - All Splits,Seth Curry,3.4,7.5,45.2,1.8,4.1,42.6,0.7,0.7,95.0,1.6,3.4,48.4,1.229,0.57
6,BROOKLYN NETS,Shooting Stats - All Splits,Joe Harris,2.9,6.8,42.9,1.7,4.5,37.6,0.4,0.6,66.7,1.2,2.3,53.3,1.170,0.55
7,BROOKLYN NETS,Shooting Stats - All Splits,Ben Simmons,3.5,6.0,59.2,0.0,0.0,0.0,0.6,1.5,41.3,3.5,5.9,59.6,1.291,0.59
8,BROOKLYN NETS,Shooting Stats - All Splits,Yuta Watanabe,2.7,4.8,55.8,1.4,2.7,52.7,0.6,0.8,71.4,1.2,2.0,60.0,1.535,0.71
9,BROOKLYN NETS,Shooting Stats - All Splits,Edmond Sumner,2.3,5.1,45.6,0.5,1.7,28.1,1.6,1.8,93.1,1.8,3.4,54.5,1.325,0.50
10,BROOKLYN NETS,Shooting Stats - All Splits,Cam Thomas,2.1,5.1,41.3,0.4,1.1,38.7,1.7,2.2,78.3,1.7,4.0,42.1,1.254,0.46
11,BROOKLYN NETS,Shooting Stats - All Splits,Patty Mills,2.0,4.2,47.1,1.2,2.9,41.7,0.6,0.6,93.3,0.8,1.3,59.4,1.365,0.62
12,BROOKLYN NETS,Shooting Stats - All Splits,Markieff Morris,1.4,3.2,44.3,1.0,2.1,48.7,0.3,0.3,100.0,0.4,1.2,36.4,1.295,0.60
13,BROOKLYN NETS,Shooting Stats - All Splits,Day'Ron Sharpe,1.5,2.9,52.6,0.2,0.3,80.0,0.7,1.0,68.4,1.3,2.6,50.0,1.351,0.56
14,BROOKLYN NETS,Shooting Stats - All Splits,David Duke Jr.,1.4,3.1,44.2,0.0,0.4,0.0,0.3,0.6,50.0,1.4,2.6,51.4,0.977,0.44
15,BROOKLYN NETS,Shooting Stats - All Splits,Kessler Edwards,0.5,1.7,27.3,0.2,0.8,18.2,0.1,0.2,50.0,0.3,0.8,36.4,0.682,0.32
16,BROOKLYN NETS,Shooting Stats - All Splits,Alondes Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
