,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,CHARLOTTE HORNETS,Player Stats - All Splits,LaMelo Ball,17,17,34.1,23.1,1.0,4.5,5.5,8.3,1.2,0.4,2.9,3.6,2.9
1,CHARLOTTE HORNETS,Player Stats - All Splits,Terry Rozier,31,31,35.5,20.6,1.1,3.2,4.3,5.3,0.7,0.2,2.5,1.9,2.1
2,CHARLOTTE HORNETS,Player Stats - All Splits,Kelly Oubre Jr.,35,30,32.6,20.2,1.5,3.6,5.1,1.2,1.6,0.4,1.3,3.0,1.0
3,CHARLOTTE HORNETS,Player Stats - All Splits,P.J. Washington,40,40,32.0,15.3,1.1,3.6,4.7,2.3,0.9,1.1,1.5,2.7,1.5
4,CHARLOTTE HORNETS,Player Stats - All Splits,Gordon Hayward,21,21,32.7,13.7,0.9,3.9,4.7,3.9,0.8,0.2,2.1,1.1,1.9
5,CHARLOTTE HORNETS,Player Stats - All Splits,Mason Plumlee,41,41,27.8,11.0,3.4,6.2,9.6,3.7,0.7,0.8,1.6,3.2,2.3
6,CHARLOTTE HORNETS,Player Stats - All Splits,Jalen McDaniels,41,13,26.5,10.9,0.9,4.0,4.9,2.1,1.1,0.6,1.4,2.9,1.5
7,CHARLOTTE HORNETS,Player Stats - All Splits,Dennis Smith Jr.,19,11,26.5,8.8,0.5,2.5,3.0,4.9,1.7,0.6,1.5,2.4,3.2
8,CHARLOTTE HORNETS,Player Stats - All Splits,Nick Richards,36,0,17.6,8.4,2.7,3.2,5.9,0.6,0.2,0.8,0.8,2.2,0.8
9,CHARLOTTE HORNETS,Player Stats - All Splits,Mark Williams,11,0,13.5,6.3,1.5,4.5,6.1,0.5,0.7,0.6,1.0,1.9,0.5
10,CHARLOTTE HORNETS,Player Stats - All Splits,Theo Maledon,35,1,16.1,5.5,0.3,2.1,2.4,2.5,0.8,0.2,1.0,1.0,2.5
11,CHARLOTTE HORNETS,Player Stats - All Splits,James Bouknight,25,0,13.9,4.4,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.2,1.6
12,CHARLOTTE HORNETS,Player Stats - All Splits,Bryce McGowens,15,0,12.9,3.7,0.2,1.0,1.2,0.9,0.3,0.3,0.5,0.5,2.0
13,CHARLOTTE HORNETS,Player Stats - All Splits,Kai Jones,24,0,9.4,2.8,0.8,1.3,2.1,0.2,0.2,0.5,0.4,1.3,0.6
14,CHARLOTTE HORNETS,Player Stats - All Splits,JT Thor,28,0,10.6,2.8,0.5,1.2,1.8,0.5,0.2,0.3,0.5,0.8,1.0
15,CHARLOTTE HORNETS,Player Stats - All Splits,Cody Martin,4,0,17.3,2.8,1.0,2.5,3.5,1.5,0.5,0.3,0.3,0.3,6.0
