,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,CHARLOTTE HORNETS,Shooting Stats - All Splits,LaMelo Ball,8.2,20.0,41.2,4.2,11.2,37.7,2.4,2.7,87.0,4.0,8.8,45.6,1.153,0.52
1,CHARLOTTE HORNETS,Shooting Stats - All Splits,Terry Rozier,7.7,19.3,39.9,2.5,7.9,31.6,2.7,3.3,84.2,5.2,11.5,45.6,1.068,0.46
2,CHARLOTTE HORNETS,Shooting Stats - All Splits,Kelly Oubre Jr.,7.5,17.8,42.1,2.3,7.4,30.8,2.9,4.0,71.4,5.2,10.4,50.3,1.131,0.49
3,CHARLOTTE HORNETS,Shooting Stats - All Splits,P.J. Washington,5.8,13.3,43.4,2.0,5.6,34.7,1.9,2.4,79.8,3.8,7.6,49.8,1.157,0.51
4,CHARLOTTE HORNETS,Shooting Stats - All Splits,Gordon Hayward,5.1,12.0,42.3,1.1,3.8,30.0,2.3,3.0,76.6,4.0,8.2,48.0,1.134,0.47
5,CHARLOTTE HORNETS,Shooting Stats - All Splits,Mason Plumlee,4.2,6.5,64.6,0.0,0.0,0.0,2.5,4.2,59.9,4.2,6.5,64.6,1.675,0.65
6,CHARLOTTE HORNETS,Shooting Stats - All Splits,Jalen McDaniels,4.0,8.7,45.8,1.2,3.6,34.2,1.7,2.0,87.7,2.8,5.1,53.8,1.256,0.53
7,CHARLOTTE HORNETS,Shooting Stats - All Splits,Dennis Smith Jr.,3.8,8.4,45.0,0.6,1.8,31.4,0.7,1.1,61.9,3.2,6.6,48.8,1.050,0.48
8,CHARLOTTE HORNETS,Shooting Stats - All Splits,Nick Richards,3.2,5.1,62.0,0.0,0.0,0.0,2.1,2.8,73.3,3.2,5.1,62.0,1.641,0.62
9,CHARLOTTE HORNETS,Shooting Stats - All Splits,Mark Williams,2.4,4.3,55.3,0.0,0.0,0.0,1.5,2.2,70.8,2.4,4.3,55.3,1.468,0.55
10,CHARLOTTE HORNETS,Shooting Stats - All Splits,Theo Maledon,1.8,4.3,40.8,0.6,1.8,32.3,1.4,1.6,87.5,1.2,2.6,46.7,1.270,0.47
11,CHARLOTTE HORNETS,Shooting Stats - All Splits,James Bouknight,1.6,4.8,33.3,0.6,2.5,25.4,0.6,0.9,68.2,1.0,2.3,42.1,0.925,0.40
12,CHARLOTTE HORNETS,Shooting Stats - All Splits,Bryce McGowens,1.3,3.2,39.6,0.4,1.1,37.5,0.8,0.9,85.7,0.9,2.1,40.6,1.167,0.46
13,CHARLOTTE HORNETS,Shooting Stats - All Splits,Kai Jones,1.2,2.3,50.0,0.1,0.5,27.3,0.3,0.5,72.7,1.0,1.9,55.6,1.196,0.53
14,CHARLOTTE HORNETS,Shooting Stats - All Splits,JT Thor,1.0,2.6,37.8,0.4,1.5,26.8,0.4,0.5,73.3,0.6,1.2,51.5,1.054,0.45
15,CHARLOTTE HORNETS,Shooting Stats - All Splits,Cody Martin,1.3,5.0,25.0,0.3,2.0,12.5,0.0,0.5,0.0,1.0,3.0,33.3,0.550,0.28
