,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,CHICAGO BULLS,Player Stats - All Splits,DeMar DeRozan,40,40,36.4,26.4,0.5,4.6,5.1,5.0,1.0,0.5,2.0,2.7,2.5
1,CHICAGO BULLS,Player Stats - All Splits,Zach LaVine,36,36,35.2,23.3,0.6,3.8,4.3,4.3,1.0,0.2,2.5,2.3,1.7
2,CHICAGO BULLS,Player Stats - All Splits,Nikola Vucevic,40,40,33.3,16.8,2.0,8.8,10.9,3.1,0.6,0.9,1.8,2.1,1.7
3,CHICAGO BULLS,Player Stats - All Splits,Patrick Williams,40,39,29.0,9.9,1.0,3.2,4.1,1.3,0.7,0.9,1.3,2.1,1.0
4,CHICAGO BULLS,Player Stats - All Splits,Ayo Dosunmu,38,30,27.4,9.8,0.7,2.5,3.2,2.6,0.8,0.3,1.3,2.6,2.0
5,CHICAGO BULLS,Player Stats - All Splits,Coby White,32,0,20.5,7.8,0.2,2.3,2.5,1.8,0.7,0.1,0.8,1.7,2.3
6,CHICAGO BULLS,Player Stats - All Splits,Goran Dragic,37,0,16.6,7.6,0.3,1.2,1.5,2.9,0.2,0.1,1.1,1.4,2.6
7,CHICAGO BULLS,Player Stats - All Splits,Andre Drummond,32,0,13.7,6.4,2.2,4.7,6.9,0.7,0.7,0.3,1.1,1.9,0.6
8,CHICAGO BULLS,Player Stats - All Splits,Javonte Green,28,1,16.0,5.9,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,1.2
9,CHICAGO BULLS,Player Stats - All Splits,Derrick Jones Jr.,29,0,14.2,5.7,0.9,1.6,2.5,0.6,0.5,0.6,0.5,1.5,1.1
10,CHICAGO BULLS,Player Stats - All Splits,Alex Caruso,34,14,24.1,5.2,0.4,2.3,2.7,3.4,1.6,0.6,1.3,2.4,2.6
11,CHICAGO BULLS,Player Stats - All Splits,Tony Bradley,9,0,2.8,1.3,0.1,1.0,1.1,0.1,0.1,0.0,0.1,0.1,1.0
12,CHICAGO BULLS,Player Stats - All Splits,Dalen Terry,14,0,3.7,0.9,0.0,0.3,0.3,0.5,0.1,0.1,0.3,0.3,1.8
13,CHICAGO BULLS,Player Stats - All Splits,Malcolm Hill,3,0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
14,CHICAGO BULLS,Player Stats - All Splits,Marko Simonovic,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
