,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,CHICAGO BULLS,Shooting Stats - All Splits,DeMar DeRozan,9.4,18.6,50.4,0.4,1.5,27.1,7.3,8.2,88.7,9.0,17.1,52.4,1.419,0.51
1,CHICAGO BULLS,Shooting Stats - All Splits,Zach LaVine,8.3,17.7,46.9,3.1,7.6,40.5,3.6,4.3,84.0,5.2,10.1,51.6,1.317,0.56
2,CHICAGO BULLS,Shooting Stats - All Splits,Nikola Vucevic,6.7,12.9,51.5,1.7,4.4,37.9,1.8,2.2,84.9,5.0,8.5,58.7,1.302,0.58
3,CHICAGO BULLS,Shooting Stats - All Splits,Patrick Williams,3.7,8.1,46.0,1.4,3.5,41.3,1.1,1.2,91.3,2.3,4.7,49.5,1.225,0.55
4,CHICAGO BULLS,Shooting Stats - All Splits,Ayo Dosunmu,3.9,7.8,50.3,0.9,2.8,33.0,1.0,1.2,78.7,3.0,5.1,59.9,1.248,0.56
5,CHICAGO BULLS,Shooting Stats - All Splits,Coby White,2.7,6.5,41.8,1.6,4.4,35.7,0.8,1.1,76.5,1.2,2.1,54.4,1.202,0.54
6,CHICAGO BULLS,Shooting Stats - All Splits,Goran Dragic,2.9,6.7,44.0,1.1,2.8,39.2,0.6,1.0,63.9,1.9,3.9,47.3,1.133,0.52
7,CHICAGO BULLS,Shooting Stats - All Splits,Andre Drummond,2.7,4.5,60.4,0.0,0.1,0.0,0.9,1.7,56.6,2.7,4.4,61.3,1.417,0.60
8,CHICAGO BULLS,Shooting Stats - All Splits,Javonte Green,2.2,3.7,58.7,0.5,1.2,38.2,1.0,1.5,67.4,1.7,2.5,68.6,1.577,0.65
9,CHICAGO BULLS,Shooting Stats - All Splits,Derrick Jones Jr.,2.0,3.8,53.2,0.4,1.2,35.3,1.2,1.6,78.3,1.6,2.6,61.3,1.505,0.59
10,CHICAGO BULLS,Shooting Stats - All Splits,Alex Caruso,1.8,4.0,44.1,0.8,2.1,39.4,0.9,1.2,75.0,0.9,1.9,49.2,1.309,0.54
11,CHICAGO BULLS,Shooting Stats - All Splits,Tony Bradley,0.4,0.8,57.1,0.2,0.4,50.0,0.2,0.2,100.0,0.2,0.3,66.7,1.714,0.71
12,CHICAGO BULLS,Shooting Stats - All Splits,Dalen Terry,0.3,0.9,30.8,0.1,0.3,25.0,0.2,0.3,75.0,0.2,0.6,33.3,0.923,0.35
13,CHICAGO BULLS,Shooting Stats - All Splits,Malcolm Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
14,CHICAGO BULLS,Shooting Stats - All Splits,Marko Simonovic,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
