,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,CLEVELAND CAVALIERS,Player Stats - All Splits,Donovan Mitchell,36,36,36.5,28.8,0.9,3.0,3.9,4.8,1.4,0.4,3.1,2.7,1.6
1,CLEVELAND CAVALIERS,Player Stats - All Splits,Darius Garland,32,32,35.8,21.4,0.4,2.2,2.7,7.8,1.3,0.2,3.1,2.0,2.5
2,CLEVELAND CAVALIERS,Player Stats - All Splits,Evan Mobley,39,39,34.0,14.2,2.4,6.5,8.9,2.8,0.8,1.3,2.1,2.7,1.4
3,CLEVELAND CAVALIERS,Player Stats - All Splits,Jarrett Allen,34,34,33.6,13.6,3.1,7.0,10.1,1.5,0.8,1.2,1.4,2.1,1.1
4,CLEVELAND CAVALIERS,Player Stats - All Splits,Caris LeVert,37,20,31.1,12.6,0.7,3.4,4.1,3.7,0.8,0.2,1.6,2.4,2.3
5,CLEVELAND CAVALIERS,Player Stats - All Splits,Cedi Osman,39,0,23.4,9.8,0.3,2.3,2.6,1.6,0.5,0.1,0.8,1.9,1.9
6,CLEVELAND CAVALIERS,Player Stats - All Splits,Kevin Love,33,3,20.9,9.3,1.0,6.2,7.2,2.0,0.2,0.2,1.2,1.8,1.6
7,CLEVELAND CAVALIERS,Player Stats - All Splits,Dean Wade,17,9,24.1,6.4,0.6,3.5,4.1,1.0,0.7,0.4,0.4,2.5,2.4
8,CLEVELAND CAVALIERS,Player Stats - All Splits,Lamar Stevens,25,18,21.5,6.1,0.7,3.0,3.8,0.7,0.4,0.4,0.6,1.2,1.1
9,CLEVELAND CAVALIERS,Player Stats - All Splits,Isaac Okoro,41,11,19.0,5.2,0.6,1.8,2.4,0.8,0.6,0.4,0.6,1.9,1.5
10,CLEVELAND CAVALIERS,Player Stats - All Splits,Raul Neto,27,0,10.4,3.2,0.2,0.7,0.9,1.4,0.4,0.0,0.3,0.9,4.2
11,CLEVELAND CAVALIERS,Player Stats - All Splits,Robin Lopez,25,1,8.6,3.0,0.8,0.7,1.5,0.4,0.0,0.1,0.7,1.1,0.6
12,CLEVELAND CAVALIERS,Player Stats - All Splits,Mamadi Diakite,13,2,6.8,2.0,0.2,0.6,0.8,0.2,0.2,0.4,0.5,0.8,0.3
13,CLEVELAND CAVALIERS,Player Stats - All Splits,Isaiah Mobley,8,0,3.3,1.1,0.1,1.3,1.4,0.0,0.1,0.0,0.0,0.3,0.0
