,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Donovan Mitchell,9.9,20.3,48.8,3.8,9.3,40.5,5.2,6.0,87.4,6.1,11.0,55.9,1.420,0.58
1,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Darius Garland,7.4,16.5,44.9,2.4,6.1,39.3,4.2,4.8,85.8,5.0,10.4,48.2,1.295,0.52
2,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Evan Mobley,5.8,10.5,55.0,0.2,1.1,20.9,2.4,3.5,68.1,5.6,9.4,59.0,1.350,0.56
3,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Jarrett Allen,5.4,8.8,61.9,0.0,0.2,0.0,2.7,3.9,70.2,5.4,8.6,63.1,1.545,0.62
4,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Caris LeVert,4.5,11.0,41.3,1.6,4.4,36.6,2.0,2.6,74.5,2.9,6.6,44.3,1.150,0.49
5,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Cedi Osman,3.6,7.8,46.9,1.5,4.3,34.7,1.1,1.7,64.6,2.2,3.5,61.8,1.267,0.56
6,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Kevin Love,3.0,7.2,41.0,1.9,5.1,36.7,1.5,1.7,87.7,1.1,2.1,51.4,1.289,0.54
7,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Dean Wade,2.2,4.9,45.2,1.4,3.3,41.1,0.5,0.8,69.2,0.9,1.6,53.6,1.286,0.59
8,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Lamar Stevens,2.4,5.7,42.0,0.6,1.9,29.2,0.8,1.1,67.9,1.8,3.8,48.4,1.070,0.47
9,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Isaac Okoro,1.9,4.2,43.9,0.6,1.9,29.1,1.0,1.2,76.5,1.3,2.3,56.4,1.237,0.51
10,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Raul Neto,1.2,2.3,52.5,0.3,1.0,34.6,0.5,0.6,87.5,0.9,1.3,65.7,1.426,0.60
11,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Robin Lopez,1.3,2.0,64.0,0.0,0.0,100.0,0.4,0.6,71.4,1.2,2.0,63.3,1.500,0.65
12,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Mamadi Diakite,0.8,1.8,47.8,0.3,1.0,30.8,0.0,0.0,0.0,0.5,0.8,70.0,1.130,0.57
13,CLEVELAND CAVALIERS,Shooting Stats - All Splits,Isaiah Mobley,0.5,1.0,50.0,0.1,0.3,50.0,0.0,0.0,0.0,0.4,0.8,50.0,1.125,0.56
