,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,DALLAS MAVERICKS,Player Stats - All Splits,Luka Doncic,37,37,36.9,34.0,1.0,7.9,8.8,8.7,1.6,0.6,3.7,2.9,2.4
1,DALLAS MAVERICKS,Player Stats - All Splits,Christian Wood,38,13,28.1,18.2,1.4,6.8,8.2,1.6,0.5,1.1,2.1,2.8,0.7
2,DALLAS MAVERICKS,Player Stats - All Splits,Spencer Dinwiddie,40,40,33.2,16.2,0.4,2.7,3.1,5.2,0.8,0.2,1.6,2.3,3.3
3,DALLAS MAVERICKS,Player Stats - All Splits,Tim Hardaway Jr.,39,22,28.7,13.9,0.3,2.8,3.1,1.6,0.9,0.1,0.9,1.5,1.8
4,DALLAS MAVERICKS,Player Stats - All Splits,Dorian Finney-Smith,31,31,31.6,8.4,1.4,2.6,4.0,1.2,1.0,0.5,0.9,1.9,1.2
5,DALLAS MAVERICKS,Player Stats - All Splits,Kemba Walker,9,1,16.0,8.0,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,4.8
6,DALLAS MAVERICKS,Player Stats - All Splits,Josh Green,25,1,20.3,7.0,0.9,1.4,2.3,1.2,0.9,0.0,0.7,2.5,1.6
7,DALLAS MAVERICKS,Player Stats - All Splits,Maxi Kleber,22,0,25.6,6.2,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,1.6
8,DALLAS MAVERICKS,Player Stats - All Splits,Dwight Powell,36,25,17.6,5.9,1.9,1.9,3.8,0.6,0.5,0.4,0.8,2.8,0.8
9,DALLAS MAVERICKS,Player Stats - All Splits,Jaden Hardy,14,0,10.1,5.7,0.0,1.1,1.1,0.6,0.2,0.1,0.4,1.5,1.3
10,DALLAS MAVERICKS,Player Stats - All Splits,Reggie Bullock,39,27,28.9,5.2,0.4,2.9,3.4,1.2,0.7,0.2,0.5,2.1,2.5
11,DALLAS MAVERICKS,Player Stats - All Splits,Davis Bertans,22,0,9.9,4.4,0.2,0.7,0.9,0.3,0.1,0.1,0.3,1.1,1.0
12,DALLAS MAVERICKS,Player Stats - All Splits,JaVale McGee,26,7,8.2,4.1,0.6,1.8,2.3,0.3,0.1,0.5,0.8,1.2,0.3
13,DALLAS MAVERICKS,Player Stats - All Splits,Tyler Dorsey,3,0,2.7,3.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
14,DALLAS MAVERICKS,Player Stats - All Splits,Frank Ntilikina,22,1,12.9,2.7,0.1,1.4,1.5,1.1,0.3,0.1,0.7,1.5,1.6
15,DALLAS MAVERICKS,Player Stats - All Splits,McKinley Wright IV,11,0,10.4,1.8,0.4,0.7,1.1,1.1,0.6,0.1,0.7,1.2,1.5
16,DALLAS MAVERICKS,Player Stats - All Splits,Theo Pinson,20,0,4.6,1.4,0.2,1.1,1.2,0.3,0.1,0.0,0.2,0.3,1.7
17,DALLAS MAVERICKS,Player Stats - All Splits,Facundo Campazzo,8,0,6.5,1.3,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,3.0
18,DALLAS MAVERICKS,Player Stats - All Splits,A.J. Lawson,4,0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
