,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,DALLAS MAVERICKS,Shooting Stats - All Splits,Luka Doncic,11.4,22.8,49.9,2.9,8.1,35.5,8.4,11.3,74.2,8.5,14.7,57.9,1.492,0.56
1,DALLAS MAVERICKS,Shooting Stats - All Splits,Christian Wood,6.7,12.2,54.5,1.8,4.6,39.9,3.0,4.2,72.3,4.8,7.7,63.2,1.487,0.62
2,DALLAS MAVERICKS,Shooting Stats - All Splits,Spencer Dinwiddie,5.6,12.3,45.6,2.5,6.3,40.0,2.5,3.0,82.6,3.1,6.0,51.5,1.320,0.56
3,DALLAS MAVERICKS,Shooting Stats - All Splits,Tim Hardaway Jr.,4.6,11.9,38.4,2.9,7.9,36.4,1.9,2.4,78.7,1.7,4.0,42.6,1.171,0.51
4,DALLAS MAVERICKS,Shooting Stats - All Splits,Dorian Finney-Smith,3.0,7.5,40.1,1.9,5.4,34.5,0.5,0.8,64.0,1.1,2.1,54.7,1.121,0.53
5,DALLAS MAVERICKS,Shooting Stats - All Splits,Kemba Walker,2.7,6.3,42.1,0.8,3.1,25.0,1.9,2.3,81.0,1.9,3.2,58.6,1.263,0.48
6,DALLAS MAVERICKS,Shooting Stats - All Splits,Josh Green,2.4,4.1,58.3,1.0,2.2,44.4,1.3,1.8,71.1,1.4,2.0,73.5,1.709,0.70
7,DALLAS MAVERICKS,Shooting Stats - All Splits,Maxi Kleber,2.3,4.7,49.0,1.1,3.0,36.9,0.5,0.6,78.6,1.2,1.8,69.2,1.317,0.61
8,DALLAS MAVERICKS,Shooting Stats - All Splits,Dwight Powell,2.2,3.0,73.1,0.0,0.1,0.0,1.6,2.2,70.0,2.2,2.9,74.5,1.981,0.73
9,DALLAS MAVERICKS,Shooting Stats - All Splits,Jaden Hardy,2.1,4.9,42.0,0.5,1.8,28.0,1.1,1.2,88.2,1.6,3.1,50.0,1.159,0.47
10,DALLAS MAVERICKS,Shooting Stats - All Splits,Reggie Bullock,1.7,5.0,34.7,1.3,4.2,31.7,0.4,0.6,66.7,0.4,0.8,50.0,1.041,0.48
11,DALLAS MAVERICKS,Shooting Stats - All Splits,Davis Bertans,1.4,3.5,40.8,1.1,3.0,37.9,0.5,0.5,83.3,0.3,0.5,60.0,1.276,0.57
12,DALLAS MAVERICKS,Shooting Stats - All Splits,JaVale McGee,1.8,2.9,61.3,0.0,0.2,25.0,0.5,0.9,54.2,1.7,2.7,63.4,1.413,0.62
13,DALLAS MAVERICKS,Shooting Stats - All Splits,Tyler Dorsey,1.3,1.7,80.0,0.3,0.7,50.0,0.0,0.0,0.0,1.0,1.0,100.0,1.800,0.90
14,DALLAS MAVERICKS,Shooting Stats - All Splits,Frank Ntilikina,1.0,2.9,32.8,0.3,1.7,18.9,0.5,0.6,76.9,0.6,1.2,51.9,0.922,0.38
15,DALLAS MAVERICKS,Shooting Stats - All Splits,McKinley Wright IV,0.7,1.8,40.0,0.0,0.4,0.0,0.4,0.5,66.7,0.7,1.5,50.0,1.000,0.40
16,DALLAS MAVERICKS,Shooting Stats - All Splits,Theo Pinson,0.4,1.2,29.2,0.3,0.8,31.3,0.4,0.5,88.9,0.1,0.4,25.0,1.125,0.40
17,DALLAS MAVERICKS,Shooting Stats - All Splits,Facundo Campazzo,0.4,1.6,23.1,0.4,1.4,27.3,0.1,0.3,50.0,0.0,0.3,0.0,0.769,0.35
18,DALLAS MAVERICKS,Shooting Stats - All Splits,A.J. Lawson,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
