,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,DENVER NUGGETS,Player Stats - All Splits,Nikola Jokic,36,36,33.4,25.3,2.0,8.8,10.8,9.5,1.4,0.6,3.4,2.8,2.8
1,DENVER NUGGETS,Player Stats - All Splits,Jamal Murray,32,32,31.7,18.0,0.6,3.3,3.8,5.4,0.9,0.3,2.0,1.3,2.7
2,DENVER NUGGETS,Player Stats - All Splits,Aaron Gordon,34,34,30.1,16.9,2.6,4.4,7.0,2.4,0.9,0.7,1.6,1.8,1.5
3,DENVER NUGGETS,Player Stats - All Splits,Michael Porter Jr.,25,25,29.3,16.4,1.0,4.8,5.9,1.2,0.6,0.5,1.3,2.4,1.0
4,DENVER NUGGETS,Player Stats - All Splits,Bones Hyland,31,1,20.7,13.5,0.3,2.0,2.3,3.3,0.6,0.3,1.8,1.7,1.8
5,DENVER NUGGETS,Player Stats - All Splits,Kentavious Caldwell-Pope,38,38,31.4,11.4,0.4,2.6,3.1,2.3,1.1,0.3,1.2,2.1,1.9
6,DENVER NUGGETS,Player Stats - All Splits,Bruce Brown,38,19,29.0,11.1,0.8,3.4,4.2,3.9,0.9,0.6,1.6,2.4,2.4
7,DENVER NUGGETS,Player Stats - All Splits,Jeff Green,24,3,19.3,7.5,0.9,1.9,2.8,1.1,0.4,0.3,1.0,1.8,1.2
8,DENVER NUGGETS,Player Stats - All Splits,Vlatko Cancar,28,0,13.3,5.3,0.5,1.5,2.0,1.1,0.4,0.2,0.7,1.7,1.7
9,DENVER NUGGETS,Player Stats - All Splits,DeAndre Jordan,28,3,14.0,4.6,1.3,3.8,5.1,0.8,0.2,0.7,1.0,1.7,0.8
10,DENVER NUGGETS,Player Stats - All Splits,Zeke Nnaji,29,2,11.0,4.0,1.0,0.7,1.7,0.2,0.2,0.2,0.5,1.7,0.5
11,DENVER NUGGETS,Player Stats - All Splits,Christian Braun,36,1,14.1,3.4,0.6,1.4,1.9,0.5,0.3,0.2,0.4,1.1,1.3
12,DENVER NUGGETS,Player Stats - All Splits,Ish Smith,18,0,8.6,2.4,0.1,0.8,0.9,1.8,0.2,0.3,0.9,0.6,1.9
13,DENVER NUGGETS,Player Stats - All Splits,Davon Reed,26,1,9.5,2.4,0.3,1.2,1.4,0.6,0.3,0.1,0.5,1.1,1.2
14,DENVER NUGGETS,Player Stats - All Splits,Peyton Watson,6,0,2.5,1.0,0.3,0.2,0.5,0.0,0.0,0.0,0.0,0.2,0.0
15,DENVER NUGGETS,Player Stats - All Splits,Jack White,9,0,3.0,0.2,0.2,0.3,0.6,0.0,0.1,0.2,0.0,0.4,0.0
