,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,DENVER NUGGETS,Shooting Stats - All Splits,Nikola Jokic,9.5,15.5,61.3,0.9,2.4,36.8,5.4,6.6,81.6,8.6,13.1,65.8,1.633,0.64
1,DENVER NUGGETS,Shooting Stats - All Splits,Jamal Murray,6.6,14.8,44.8,2.0,5.4,37.2,2.8,3.5,80.2,4.6,9.4,49.2,1.220,0.52
2,DENVER NUGGETS,Shooting Stats - All Splits,Aaron Gordon,6.4,11.0,58.4,0.9,2.5,37.6,3.0,4.7,64.8,5.5,8.5,64.5,1.528,0.63
3,DENVER NUGGETS,Shooting Stats - All Splits,Michael Porter Jr.,6.0,12.7,47.2,2.8,6.7,41.3,1.6,2.2,75.9,3.2,6.0,53.6,1.289,0.58
4,DENVER NUGGETS,Shooting Stats - All Splits,Bones Hyland,4.6,11.1,41.4,2.5,6.1,41.3,1.7,2.1,82.8,2.1,5.0,41.7,1.209,0.53
5,DENVER NUGGETS,Shooting Stats - All Splits,Kentavious Caldwell-Pope,4.0,8.5,47.2,2.1,4.4,47.9,1.2,1.5,83.9,1.9,4.1,46.5,1.336,0.60
6,DENVER NUGGETS,Shooting Stats - All Splits,Bruce Brown,4.4,8.8,49.7,1.3,3.3,40.8,1.0,1.2,80.4,3.0,5.5,55.0,1.257,0.57
7,DENVER NUGGETS,Shooting Stats - All Splits,Jeff Green,2.8,5.4,52.7,0.3,1.3,26.7,1.5,2.1,68.6,2.5,4.1,60.6,1.388,0.56
8,DENVER NUGGETS,Shooting Stats - All Splits,Vlatko Cancar,2.0,3.7,53.4,1.0,2.0,50.0,0.4,0.4,90.9,1.0,1.7,57.4,1.437,0.67
9,DENVER NUGGETS,Shooting Stats - All Splits,DeAndre Jordan,2.0,2.6,75.7,0.0,0.0,100.0,0.6,1.3,47.2,2.0,2.6,75.3,1.757,0.76
10,DENVER NUGGETS,Shooting Stats - All Splits,Zeke Nnaji,1.7,2.8,59.3,0.1,0.7,15.8,0.6,0.8,78.3,1.6,2.1,72.6,1.444,0.61
11,DENVER NUGGETS,Shooting Stats - All Splits,Christian Braun,1.4,3.1,45.5,0.3,1.0,32.4,0.3,0.6,52.4,1.1,2.0,52.1,1.118,0.51
12,DENVER NUGGETS,Shooting Stats - All Splits,Ish Smith,1.1,2.8,39.2,0.1,0.3,33.3,0.1,0.1,50.0,1.0,2.5,40.0,0.843,0.41
13,DENVER NUGGETS,Shooting Stats - All Splits,Davon Reed,0.7,2.3,31.1,0.5,1.4,35.1,0.4,0.6,68.8,0.2,0.9,25.0,1.016,0.42
14,DENVER NUGGETS,Shooting Stats - All Splits,Peyton Watson,0.5,1.5,33.3,0.0,0.2,0.0,0.0,0.0,0.0,0.5,1.3,37.5,0.667,0.33
15,DENVER NUGGETS,Shooting Stats - All Splits,Jack White,0.1,0.7,16.7,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.4,25.0,0.333,0.17
