,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,DETROIT PISTONS,Player Stats - All Splits,Bojan Bogdanovic,42,42,31.3,21.0,0.5,3.0,3.6,2.7,0.6,0.0,2.3,1.7,1.2
1,DETROIT PISTONS,Player Stats - All Splits,Cade Cunningham,12,12,33.3,19.9,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,1.8
2,DETROIT PISTONS,Player Stats - All Splits,Jaden Ivey,39,38,29.8,14.9,1.1,3.0,4.1,4.1,0.9,0.2,2.7,3.0,1.5
3,DETROIT PISTONS,Player Stats - All Splits,Alec Burks,30,0,22.0,14.0,0.3,2.7,3.0,2.2,0.8,0.1,1.1,2.2,2.0
4,DETROIT PISTONS,Player Stats - All Splits,Saddiq Bey,39,21,28.1,13.4,0.9,3.2,4.1,1.5,0.9,0.2,1.0,1.6,1.4
5,DETROIT PISTONS,Player Stats - All Splits,Isaiah Stewart,36,36,28.5,11.8,2.2,5.8,7.9,1.2,0.4,0.7,1.5,2.6,0.8
6,DETROIT PISTONS,Player Stats - All Splits,Marvin Bagley III,25,13,21.3,10.6,2.1,3.8,5.9,0.6,0.5,0.7,0.9,2.0,0.6
7,DETROIT PISTONS,Player Stats - All Splits,Killian Hayes,40,27,26.2,9.8,0.4,2.5,2.9,5.6,1.2,0.4,1.9,3.0,3.0
8,DETROIT PISTONS,Player Stats - All Splits,Jalen Duren,39,15,24.4,7.7,3.4,5.1,8.5,1.0,0.6,0.7,1.2,2.6,0.8
9,DETROIT PISTONS,Player Stats - All Splits,Hamidou Diallo,35,0,15.4,7.1,1.1,2.1,3.2,0.9,0.7,0.3,0.9,2.0,1.0
10,DETROIT PISTONS,Player Stats - All Splits,Isaiah Livers,22,7,19.5,5.8,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,1.0
11,DETROIT PISTONS,Player Stats - All Splits,Kevin Knox II,33,0,14.0,5.5,0.4,2.0,2.4,0.4,0.4,0.3,0.7,1.8,0.5
12,DETROIT PISTONS,Player Stats - All Splits,Cory Joseph,34,2,15.4,4.5,0.3,1.0,1.3,3.0,0.4,0.1,0.7,1.4,4.4
13,DETROIT PISTONS,Player Stats - All Splits,Rodney McGruder,16,2,10.1,2.8,0.6,0.9,1.6,0.7,0.3,0.0,0.4,0.8,1.8
14,DETROIT PISTONS,Player Stats - All Splits,Nerlens Noel,9,0,9.0,2.0,0.6,2.0,2.6,0.3,0.9,0.2,0.4,1.4,0.8
15,DETROIT PISTONS,Player Stats - All Splits,Braxton Key,3,0,3.0,1.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
16,DETROIT PISTONS,Player Stats - All Splits,Buddy Boeheim,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
