,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,DETROIT PISTONS,Shooting Stats - All Splits,Bojan Bogdanovic,7.0,14.5,48.4,2.4,5.8,41.6,4.6,5.2,89.4,4.6,8.7,53.0,1.455,0.57
1,DETROIT PISTONS,Shooting Stats - All Splits,Cade Cunningham,7.8,18.7,41.5,1.4,5.1,27.9,3.0,3.6,83.7,6.3,13.6,46.6,1.067,0.45
2,DETROIT PISTONS,Shooting Stats - All Splits,Jaden Ivey,5.2,12.6,40.9,1.3,4.0,32.5,3.3,4.6,71.8,3.8,8.6,44.9,1.187,0.46
3,DETROIT PISTONS,Shooting Stats - All Splits,Alec Burks,4.3,9.2,46.4,2.0,4.4,44.7,3.5,4.3,80.0,2.3,4.8,47.9,1.518,0.57
4,DETROIT PISTONS,Shooting Stats - All Splits,Saddiq Bey,4.3,10.9,39.6,1.7,5.3,32.7,3.1,3.7,84.0,2.6,5.6,46.1,1.236,0.48
5,DETROIT PISTONS,Shooting Stats - All Splits,Isaiah Stewart,4.1,8.9,45.7,1.4,4.2,34.2,2.2,3.0,74.1,2.6,4.7,55.9,1.323,0.54
6,DETROIT PISTONS,Shooting Stats - All Splits,Marvin Bagley III,4.3,8.0,53.7,0.4,1.3,27.3,1.6,2.1,76.9,4.0,6.7,58.9,1.318,0.56
7,DETROIT PISTONS,Shooting Stats - All Splits,Killian Hayes,3.9,9.9,39.5,1.2,3.5,33.3,0.8,1.0,81.6,2.7,6.4,42.9,0.987,0.45
8,DETROIT PISTONS,Shooting Stats - All Splits,Jalen Duren,3.3,5.2,63.4,0.0,0.0,0.0,1.1,1.9,57.3,3.3,5.2,63.7,1.480,0.63
9,DETROIT PISTONS,Shooting Stats - All Splits,Hamidou Diallo,2.8,5.3,53.3,0.1,0.5,27.8,1.4,2.5,57.0,2.7,4.7,56.0,1.359,0.55
10,DETROIT PISTONS,Shooting Stats - All Splits,Isaiah Livers,1.9,4.7,40.4,1.3,3.7,35.8,0.7,0.9,75.0,0.6,1.0,56.5,1.231,0.54
11,DETROIT PISTONS,Shooting Stats - All Splits,Kevin Knox II,1.9,4.3,44.7,1.0,2.8,35.9,0.7,0.8,81.5,0.9,1.5,61.2,1.284,0.56
12,DETROIT PISTONS,Shooting Stats - All Splits,Cory Joseph,1.6,4.1,39.7,0.6,1.7,32.2,0.6,0.8,75.0,1.1,2.4,45.1,1.078,0.46
13,DETROIT PISTONS,Shooting Stats - All Splits,Rodney McGruder,0.9,2.6,33.3,0.6,1.9,32.3,0.4,0.5,75.0,0.3,0.7,36.4,1.048,0.45
14,DETROIT PISTONS,Shooting Stats - All Splits,Nerlens Noel,0.8,1.9,41.2,0.0,0.0,0.0,0.4,0.7,66.7,0.8,1.9,41.2,1.059,0.41
15,DETROIT PISTONS,Shooting Stats - All Splits,Braxton Key,0.3,0.3,100.0,0.0,0.0,0.0,0.7,0.7,100.0,0.3,0.3,100.0,4.000,1.00
16,DETROIT PISTONS,Shooting Stats - All Splits,Buddy Boeheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
