,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,GOLDEN STATE WARRIORS,Player Stats - All Splits,Stephen Curry,26,26,34.4,30.0,0.6,6.0,6.6,6.8,1.0,0.3,3.1,2.1,2.2
1,GOLDEN STATE WARRIORS,Player Stats - All Splits,Jordan Poole,40,21,30.1,20.6,0.4,2.1,2.5,4.4,0.7,0.3,3.6,2.3,1.2
2,GOLDEN STATE WARRIORS,Player Stats - All Splits,Klay Thompson,31,31,32.2,20.6,0.6,3.3,3.9,2.5,0.6,0.5,1.7,2.0,1.5
3,GOLDEN STATE WARRIORS,Player Stats - All Splits,Andrew Wiggins,23,23,32.2,18.8,1.5,3.6,5.0,2.2,1.3,0.7,1.4,2.9,1.5
4,GOLDEN STATE WARRIORS,Player Stats - All Splits,Draymond Green,36,36,31.3,7.8,0.8,6.0,6.8,6.7,0.7,0.9,2.4,2.9,2.8
5,GOLDEN STATE WARRIORS,Player Stats - All Splits,Jonathan Kuminga,33,4,18.6,7.5,1.0,2.2,3.2,1.7,0.5,0.5,1.5,2.3,1.2
6,GOLDEN STATE WARRIORS,Player Stats - All Splits,Donte DiVincenzo,30,11,24.0,7.4,1.0,3.7,4.7,3.0,1.3,0.1,1.4,1.9,2.1
7,GOLDEN STATE WARRIORS,Player Stats - All Splits,Ty Jerome,24,1,18.1,7.3,0.1,1.5,1.6,2.4,0.3,0.1,0.7,1.4,3.4
8,GOLDEN STATE WARRIORS,Player Stats - All Splits,Anthony Lamb,32,3,19.7,7.2,0.8,2.5,3.3,1.7,0.7,0.3,1.0,2.2,1.7
9,GOLDEN STATE WARRIORS,Player Stats - All Splits,James Wiseman,19,0,12.7,6.8,0.9,2.7,3.6,0.7,0.1,0.4,0.7,1.9,1.0
10,GOLDEN STATE WARRIORS,Player Stats - All Splits,Kevon Looney,40,40,23.3,6.7,3.0,5.5,8.5,2.9,0.4,0.6,0.4,2.8,6.8
11,GOLDEN STATE WARRIORS,Player Stats - All Splits,JaMychal Green,28,1,14.9,5.8,1.4,2.6,4.0,0.8,0.5,0.4,1.1,2.0,0.7
12,GOLDEN STATE WARRIORS,Player Stats - All Splits,Patrick Baldwin Jr.,13,0,8.8,5.4,0.0,1.6,1.6,0.2,0.5,0.1,0.5,0.5,0.5
13,GOLDEN STATE WARRIORS,Player Stats - All Splits,Moses Moody,35,3,15.2,5.3,0.4,1.3,1.7,0.9,0.3,0.1,0.7,1.0,1.2
14,GOLDEN STATE WARRIORS,Player Stats - All Splits,Ryan Rollins,12,0,5.2,1.9,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,0.4
15,GOLDEN STATE WARRIORS,Player Stats - All Splits,Andre Iguodala,1,0,12.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.5
