,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Stephen Curry,10.1,20.2,50.0,5.0,11.6,43.4,4.8,5.2,91.9,5.0,8.5,59.0,1.487,0.63
1,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Jordan Poole,7.0,16.5,42.6,2.5,8.1,30.5,4.2,4.8,86.5,4.5,8.3,54.4,1.254,0.50
2,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Klay Thompson,7.5,18.0,41.5,4.0,10.4,38.3,1.7,1.9,89.8,3.5,7.6,45.8,1.145,0.53
3,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Andrew Wiggins,7.3,14.4,50.5,3.0,6.8,44.2,1.3,2.0,64.4,4.3,7.6,56.0,1.305,0.61
4,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Draymond Green,3.1,6.2,50.4,0.6,1.9,31.9,0.9,1.3,68.9,2.5,4.3,58.7,1.246,0.55
5,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Jonathan Kuminga,2.8,6.0,47.2,0.5,1.9,25.8,1.4,2.0,67.2,2.4,4.2,56.9,1.251,0.51
6,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Donte DiVincenzo,2.5,6.4,39.6,1.7,4.5,37.8,0.7,0.8,83.3,0.8,1.9,43.9,1.161,0.53
7,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Ty Jerome,2.7,5.5,49.2,0.9,2.3,38.2,1.0,1.1,96.2,1.8,3.2,57.1,1.333,0.57
8,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Anthony Lamb,2.7,5.3,50.3,1.4,3.5,38.9,0.5,0.7,73.9,1.3,1.8,73.2,1.367,0.63
9,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,James Wiseman,2.8,4.6,60.9,0.1,0.1,50.0,1.2,1.8,65.7,2.7,4.5,61.2,1.494,0.61
10,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Kevon Looney,2.8,4.4,62.7,0.0,0.0,0.0,1.2,1.8,63.9,2.8,4.4,62.7,1.514,0.63
11,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,JaMychal Green,2.3,4.5,51.2,0.5,1.8,26.5,0.8,1.1,73.3,1.8,2.7,67.1,1.304,0.56
12,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Patrick Baldwin Jr.,1.8,4.3,42.9,1.5,3.4,43.2,0.2,0.3,75.0,0.4,0.9,41.7,1.250,0.60
13,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Moses Moody,1.8,4.1,44.8,0.9,2.5,36.4,0.7,0.9,72.7,0.9,1.6,58.2,1.287,0.56
14,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Ryan Rollins,0.6,1.7,35.0,0.3,0.8,33.3,0.5,0.5,100.0,0.3,0.9,36.4,1.150,0.43
15,GOLDEN STATE WARRIORS,Shooting Stats - All Splits,Andre Iguodala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
