,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,HOUSTON ROCKETS,Player Stats - All Splits,Jalen Green,40,40,34.4,21.2,0.6,3.8,4.4,3.6,0.8,0.2,2.9,1.6,1.3
1,HOUSTON ROCKETS,Player Stats - All Splits,Kevin Porter Jr.,39,39,34.6,19.5,1.4,4.1,5.5,5.7,1.3,0.4,3.7,2.8,1.6
2,HOUSTON ROCKETS,Player Stats - All Splits,Alperen Sengun,36,33,26.6,14.6,3.3,5.3,8.6,2.6,0.7,0.9,2.1,3.4,1.2
3,HOUSTON ROCKETS,Player Stats - All Splits,Jabari Smith Jr.,39,39,29.8,11.8,1.2,5.8,7.0,0.9,0.6,0.9,1.3,3.1,0.7
4,HOUSTON ROCKETS,Player Stats - All Splits,Eric Gordon,34,34,29.7,11.5,0.3,1.7,2.0,2.4,0.5,0.4,1.6,0.8,1.5
5,HOUSTON ROCKETS,Player Stats - All Splits,Kenyon Martin Jr.,40,8,23.9,10.5,1.4,3.5,4.8,1.4,0.5,0.3,1.1,1.6,1.2
6,HOUSTON ROCKETS,Player Stats - All Splits,Tari Eason,40,0,18.8,7.9,2.0,3.4,5.4,0.9,1.1,0.5,1.0,2.2,0.9
7,HOUSTON ROCKETS,Player Stats - All Splits,Jae'Sean Tate,5,2,21.0,7.8,2.2,1.6,3.8,3.2,1.2,0.2,1.6,3.8,2.0
8,HOUSTON ROCKETS,Player Stats - All Splits,Garrison Mathews,33,0,12.6,4.4,0.2,1.0,1.2,0.5,0.5,0.1,0.3,1.2,1.8
9,HOUSTON ROCKETS,Player Stats - All Splits,Bruno Fernando,21,4,11.0,3.7,1.4,2.1,3.5,0.9,0.2,0.7,0.5,2.1,1.7
10,HOUSTON ROCKETS,Player Stats - All Splits,Daishen Nix,32,0,14.1,3.5,0.3,1.3,1.6,2.5,0.7,0.1,1.4,0.9,1.8
11,HOUSTON ROCKETS,Player Stats - All Splits,Usman Garuba,38,1,14.5,3.4,1.9,3.0,4.9,1.0,0.7,0.6,0.8,1.8,1.3
12,HOUSTON ROCKETS,Player Stats - All Splits,TyTy Washington Jr.,12,0,10.7,3.2,0.1,1.3,1.3,1.3,0.4,0.0,0.3,1.2,5.0
13,HOUSTON ROCKETS,Player Stats - All Splits,Trevor Hudgins,1,0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,HOUSTON ROCKETS,Player Stats - All Splits,Boban Marjanovic,13,0,4.2,2.9,0.5,0.8,1.3,0.2,0.1,0.1,0.2,0.2,0.7
15,HOUSTON ROCKETS,Player Stats - All Splits,Josh Christopher,22,0,6.6,2.6,0.2,0.8,1.0,0.6,0.2,0.0,0.5,0.7,1.2
