,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,HOUSTON ROCKETS,Shooting Stats - All Splits,Jalen Green,7.1,17.4,40.6,2.4,7.3,32.2,4.7,5.9,79.3,4.7,10.1,46.7,1.217,0.47
1,HOUSTON ROCKETS,Shooting Stats - All Splits,Kevin Porter Jr.,6.8,15.6,43.8,2.2,6.5,34.5,3.6,4.7,76.6,4.6,9.2,50.3,1.249,0.51
2,HOUSTON ROCKETS,Shooting Stats - All Splits,Alperen Sengun,5.6,10.3,54.9,0.1,0.7,20.0,3.2,4.0,78.6,5.5,9.6,57.4,1.419,0.56
3,HOUSTON ROCKETS,Shooting Stats - All Splits,Jabari Smith Jr.,4.1,10.8,38.3,1.8,5.7,32.1,1.7,2.1,80.7,2.3,5.0,45.4,1.098,0.47
4,HOUSTON ROCKETS,Shooting Stats - All Splits,Eric Gordon,3.9,9.4,42.0,1.9,5.2,36.0,1.8,2.1,83.3,2.1,4.1,49.6,1.229,0.52
5,HOUSTON ROCKETS,Shooting Stats - All Splits,Kenyon Martin Jr.,4.1,7.5,55.2,0.9,2.7,31.8,1.4,2.1,64.7,3.3,4.8,68.2,1.401,0.61
6,HOUSTON ROCKETS,Shooting Stats - All Splits,Tari Eason,3.0,7.1,42.1,0.8,2.1,36.6,1.2,1.5,79.7,2.3,5.1,44.3,1.112,0.47
7,HOUSTON ROCKETS,Shooting Stats - All Splits,Jae'Sean Tate,3.2,6.8,47.1,0.8,2.2,36.4,0.6,0.8,75.0,2.4,4.6,52.2,1.147,0.53
8,HOUSTON ROCKETS,Shooting Stats - All Splits,Garrison Mathews,1.2,3.4,34.5,1.1,3.2,34.0,0.9,1.0,93.9,0.1,0.2,42.9,1.283,0.50
9,HOUSTON ROCKETS,Shooting Stats - All Splits,Bruno Fernando,1.4,2.6,55.6,0.0,0.0,0.0,0.9,1.4,62.1,1.4,2.5,56.6,1.444,0.56
10,HOUSTON ROCKETS,Shooting Stats - All Splits,Daishen Nix,1.2,3.3,35.6,0.7,2.2,32.9,0.5,0.7,69.6,0.4,1.1,41.2,1.087,0.47
11,HOUSTON ROCKETS,Shooting Stats - All Splits,Usman Garuba,1.3,2.5,52.6,0.2,0.6,42.9,0.5,0.9,55.9,1.1,1.9,55.4,1.347,0.57
12,HOUSTON ROCKETS,Shooting Stats - All Splits,TyTy Washington Jr.,1.3,3.8,34.8,0.3,1.8,14.3,0.3,0.5,50.0,1.1,2.1,52.0,0.826,0.38
13,HOUSTON ROCKETS,Shooting Stats - All Splits,Trevor Hudgins,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000,1.50
14,HOUSTON ROCKETS,Shooting Stats - All Splits,Boban Marjanovic,1.1,1.5,73.7,0.0,0.1,0.0,0.8,0.9,83.3,1.1,1.4,77.8,2.000,0.74
15,HOUSTON ROCKETS,Shooting Stats - All Splits,Josh Christopher,1.1,2.6,41.4,0.1,0.8,17.6,0.3,0.4,75.0,1.0,1.9,51.2,0.983,0.44
