,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,INDIANA PACERS,Player Stats - All Splits,Tyrese Haliburton,39,39,33.6,20.3,0.7,3.3,4.0,10.3,1.8,0.4,2.6,1.1,4.0
1,INDIANA PACERS,Player Stats - All Splits,Buddy Hield,41,41,31.9,18.0,0.9,4.0,4.8,2.7,1.0,0.3,1.8,1.9,1.5
2,INDIANA PACERS,Player Stats - All Splits,Bennedict Mathurin,41,2,28.0,17.1,1.0,2.8,3.9,1.4,0.6,0.1,1.8,2.0,0.8
3,INDIANA PACERS,Player Stats - All Splits,Myles Turner,35,35,29.8,17.0,1.4,6.5,7.9,1.5,0.6,2.3,1.7,3.3,0.9
4,INDIANA PACERS,Player Stats - All Splits,Jalen Smith,39,27,20.2,10.1,1.8,4.3,6.2,1.1,0.4,0.9,1.2,2.2,0.9
5,INDIANA PACERS,Player Stats - All Splits,Aaron Nesmith,36,24,23.3,9.7,0.8,3.0,3.8,1.3,0.8,0.5,0.9,3.3,1.5
6,INDIANA PACERS,Player Stats - All Splits,Andrew Nembhard,36,27,27.1,8.4,0.5,2.6,3.1,3.7,1.0,0.2,1.6,2.8,2.3
7,INDIANA PACERS,Player Stats - All Splits,Isaiah Jackson,30,3,15.6,7.0,1.4,2.6,4.0,1.0,0.5,1.2,0.9,2.3,1.1
8,INDIANA PACERS,Player Stats - All Splits,Chris Duarte,20,5,16.4,6.2,0.3,1.9,2.1,1.2,0.2,0.3,0.9,1.5,1.4
9,INDIANA PACERS,Player Stats - All Splits,Oshae Brissett,36,0,15.9,5.9,0.8,2.4,3.3,0.4,0.6,0.2,0.6,1.3,0.8
10,INDIANA PACERS,Player Stats - All Splits,T.J. McConnell,38,0,17.0,5.4,0.5,1.7,2.2,4.2,1.0,0.1,1.5,1.2,2.8
11,INDIANA PACERS,Player Stats - All Splits,Goga Bitadze,18,0,9.7,3.4,1.0,1.2,2.2,0.9,0.4,0.5,0.6,1.8,1.7
12,INDIANA PACERS,Player Stats - All Splits,Terry Taylor,18,2,7.7,1.8,0.6,0.7,1.3,0.3,0.1,0.2,0.2,0.7,1.5
13,INDIANA PACERS,Player Stats - All Splits,James Johnson,9,0,7.9,1.7,0.0,0.9,0.9,0.6,0.1,0.3,0.2,1.9,2.5
14,INDIANA PACERS,Player Stats - All Splits,Kendall Brown,6,0,6.7,1.5,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
15,INDIANA PACERS,Player Stats - All Splits,Trevelin Queen,2,0,10.0,0.0,0.5,1.0,1.5,1.0,0.5,0.5,1.5,0.5,0.7
