,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,INDIANA PACERS,Shooting Stats - All Splits,Tyrese Haliburton,7.3,15.2,48.0,3.0,7.5,40.2,2.8,3.1,88.5,4.3,7.7,55.5,1.340,0.58
1,INDIANA PACERS,Shooting Stats - All Splits,Buddy Hield,6.4,14.2,45.4,3.9,9.0,42.6,1.2,1.4,86.2,2.6,5.1,50.2,1.265,0.59
2,INDIANA PACERS,Shooting Stats - All Splits,Bennedict Mathurin,5.3,12.8,41.8,1.6,4.7,33.3,4.9,5.9,81.9,3.8,8.1,46.7,1.338,0.48
3,INDIANA PACERS,Shooting Stats - All Splits,Myles Turner,6.1,11.0,55.2,1.4,3.8,37.9,3.4,4.4,78.4,4.7,7.3,64.2,1.544,0.62
4,INDIANA PACERS,Shooting Stats - All Splits,Jalen Smith,3.8,8.2,46.1,1.0,3.4,28.8,1.6,2.0,78.5,2.8,4.8,58.3,1.235,0.52
5,INDIANA PACERS,Shooting Stats - All Splits,Aaron Nesmith,3.4,7.7,43.8,1.4,4.0,36.1,1.5,1.7,88.7,1.9,3.7,52.3,1.264,0.53
6,INDIANA PACERS,Shooting Stats - All Splits,Andrew Nembhard,3.3,7.0,47.6,1.3,3.3,40.0,0.4,0.5,88.9,2.0,3.7,54.5,1.206,0.57
7,INDIANA PACERS,Shooting Stats - All Splits,Isaiah Jackson,2.6,4.6,56.5,0.0,0.2,16.7,1.7,2.5,68.4,2.6,4.4,58.3,1.514,0.57
8,INDIANA PACERS,Shooting Stats - All Splits,Chris Duarte,2.1,6.5,32.6,0.9,3.3,27.3,1.1,1.3,84.0,1.2,3.2,38.1,0.953,0.40
9,INDIANA PACERS,Shooting Stats - All Splits,Oshae Brissett,1.8,4.3,41.9,0.9,2.4,36.5,1.4,2.1,66.7,0.9,1.9,48.6,1.361,0.52
10,INDIANA PACERS,Shooting Stats - All Splits,T.J. McConnell,2.3,5.1,46.1,0.2,0.5,30.0,0.6,0.7,88.5,2.2,4.6,48.0,1.073,0.48
11,INDIANA PACERS,Shooting Stats - All Splits,Goga Bitadze,1.4,2.6,54.3,0.2,0.7,25.0,0.5,1.0,50.0,1.2,1.9,64.7,1.348,0.58
12,INDIANA PACERS,Shooting Stats - All Splits,Terry Taylor,0.7,1.9,38.2,0.1,0.6,20.0,0.2,0.3,80.0,0.6,1.3,45.8,0.941,0.41
13,INDIANA PACERS,Shooting Stats - All Splits,James Johnson,0.8,2.1,36.8,0.1,0.8,14.3,0.0,0.0,0.0,0.7,1.3,50.0,0.789,0.39
14,INDIANA PACERS,Shooting Stats - All Splits,Kendall Brown,0.7,1.2,57.1,0.0,0.2,0.0,0.2,0.3,50.0,0.7,1.0,66.7,1.286,0.57
15,INDIANA PACERS,Shooting Stats - All Splits,Trevelin Queen,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
