,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,LA CLIPPERS,Player Stats - All Splits,Paul George,30,30,33.9,23.7,0.6,5.3,6.0,5.1,1.5,0.4,3.5,2.6,1.5
1,LA CLIPPERS,Player Stats - All Splits,Kawhi Leonard,18,16,28.9,17.3,1.1,4.9,5.9,3.8,0.9,0.3,1.4,1.4,2.7
2,LA CLIPPERS,Player Stats - All Splits,Norman Powell,32,5,25.0,15.1,0.3,2.5,2.9,1.7,0.8,0.4,1.8,1.9,0.9
3,LA CLIPPERS,Player Stats - All Splits,Marcus Morris Sr.,39,39,29.4,13.3,0.5,4.4,4.9,1.7,0.7,0.5,1.0,2.3,1.7
4,LA CLIPPERS,Player Stats - All Splits,John Wall,32,3,22.2,11.4,0.4,2.1,2.6,5.3,0.8,0.4,2.3,1.6,2.3
5,LA CLIPPERS,Player Stats - All Splits,Reggie Jackson,39,38,27.6,11.3,0.5,2.0,2.4,3.7,0.6,0.1,2.0,1.9,1.9
6,LA CLIPPERS,Player Stats - All Splits,Ivica Zubac,40,40,29.5,10.3,3.4,7.2,10.6,1.1,0.4,1.4,2.0,3.0,0.5
7,LA CLIPPERS,Player Stats - All Splits,Luke Kennard,29,8,22.1,8.7,0.2,2.3,2.5,1.2,0.6,0.1,0.9,1.4,1.3
8,LA CLIPPERS,Player Stats - All Splits,Terance Mann,41,16,21.2,8.2,1.1,2.6,3.7,1.9,0.6,0.3,1.0,1.8,1.9
9,LA CLIPPERS,Player Stats - All Splits,Nicolas Batum,39,6,21.4,6.3,0.9,3.5,4.4,1.4,0.6,0.8,0.8,2.1,1.8
10,LA CLIPPERS,Player Stats - All Splits,Robert Covington,23,0,16.0,5.6,0.5,3.2,3.7,1.2,0.7,0.6,0.7,1.8,1.7
11,LA CLIPPERS,Player Stats - All Splits,Brandon Boston Jr.,15,0,9.7,5.4,0.3,0.9,1.2,0.9,0.3,0.0,0.3,0.6,2.6
12,LA CLIPPERS,Player Stats - All Splits,Moses Brown,29,1,7.7,4.4,1.6,2.1,3.7,0.1,0.1,0.4,0.3,1.0,0.3
13,LA CLIPPERS,Player Stats - All Splits,Moussa Diabate,8,1,11.3,4.1,2.5,1.5,4.0,0.3,0.4,0.1,0.6,1.3,0.4
14,LA CLIPPERS,Player Stats - All Splits,Amir Coffey,31,7,14.3,3.8,0.4,0.8,1.2,1.3,0.2,0.1,0.5,1.2,2.9
15,LA CLIPPERS,Player Stats - All Splits,Jason Preston,7,0,9.1,2.9,0.1,1.3,1.4,2.0,0.1,0.0,0.6,0.7,3.5
