,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,LA CLIPPERS,Shooting Stats - All Splits,Paul George,8.1,18.0,45.1,3.1,8.0,38.5,4.5,5.0,88.7,5.0,10.0,50.3,1.321,0.54
1,LA CLIPPERS,Shooting Stats - All Splits,Kawhi Leonard,6.4,13.9,46.4,1.1,3.8,27.9,3.4,4.2,80.3,5.4,10.1,53.3,1.248,0.50
2,LA CLIPPERS,Shooting Stats - All Splits,Norman Powell,5.2,11.1,46.9,1.6,4.2,38.5,3.1,4.0,77.5,3.6,6.8,52.1,1.367,0.54
3,LA CLIPPERS,Shooting Stats - All Splits,Marcus Morris Sr.,4.9,11.1,44.0,2.1,5.5,38.4,1.3,1.7,80.0,2.8,5.6,49.5,1.191,0.54
4,LA CLIPPERS,Shooting Stats - All Splits,John Wall,4.1,9.9,41.1,1.0,3.2,30.1,2.3,3.4,67.9,3.1,6.7,46.5,1.155,0.46
5,LA CLIPPERS,Shooting Stats - All Splits,Reggie Jackson,4.2,10.3,41.3,1.5,4.3,34.1,1.4,1.5,91.5,2.8,6.0,46.4,1.103,0.48
6,LA CLIPPERS,Shooting Stats - All Splits,Ivica Zubac,4.0,6.4,62.5,0.0,0.1,0.0,2.3,3.3,69.5,4.0,6.4,63.0,1.605,0.63
7,LA CLIPPERS,Shooting Stats - All Splits,Luke Kennard,3.1,6.3,48.9,1.9,4.0,46.2,0.7,0.7,95.0,1.2,2.3,53.7,1.375,0.64
8,LA CLIPPERS,Shooting Stats - All Splits,Terance Mann,3.2,6.1,51.6,0.7,2.0,34.5,1.1,1.5,76.7,2.5,4.1,60.1,1.329,0.57
9,LA CLIPPERS,Shooting Stats - All Splits,Nicolas Batum,2.2,4.9,44.0,1.6,3.8,40.7,0.4,0.7,60.7,0.6,1.1,56.1,1.288,0.60
10,LA CLIPPERS,Shooting Stats - All Splits,Robert Covington,1.9,5.0,37.7,0.9,3.0,28.6,1.0,1.2,85.2,1.0,1.9,52.3,1.132,0.46
11,LA CLIPPERS,Shooting Stats - All Splits,Brandon Boston Jr.,1.7,4.7,36.6,0.6,1.4,42.9,1.3,1.7,76.9,1.1,3.3,34.0,1.141,0.43
12,LA CLIPPERS,Shooting Stats - All Splits,Moses Brown,1.7,2.7,62.0,0.0,0.0,0.0,1.0,2.2,45.3,1.7,2.7,62.0,1.608,0.62
13,LA CLIPPERS,Shooting Stats - All Splits,Moussa Diabate,1.6,3.0,54.2,0.0,0.0,0.0,0.9,1.1,77.8,1.6,3.0,54.2,1.375,0.54
14,LA CLIPPERS,Shooting Stats - All Splits,Amir Coffey,1.2,3.2,37.4,0.3,0.9,32.1,1.1,1.4,81.4,0.9,2.3,39.4,1.192,0.42
15,LA CLIPPERS,Shooting Stats - All Splits,Jason Preston,1.1,3.0,38.1,0.6,1.6,36.4,0.0,0.3,0.0,0.6,1.4,40.0,0.952,0.48
