,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,LOS ANGELES LAKERS,Player Stats - All Splits,LeBron James,31,31,35.9,29.1,1.2,7.0,8.2,6.7,1.0,0.5,3.3,1.7,2.0
1,LOS ANGELES LAKERS,Player Stats - All Splits,Anthony Davis,25,25,33.4,27.4,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,1.4
2,LOS ANGELES LAKERS,Player Stats - All Splits,Russell Westbrook,37,3,28.1,14.8,1.1,5.3,6.4,7.9,1.0,0.5,3.6,2.4,2.2
3,LOS ANGELES LAKERS,Player Stats - All Splits,Lonnie Walker IV,32,32,29.8,14.7,0.3,2.0,2.3,1.4,0.8,0.3,1.0,1.7,1.5
4,LOS ANGELES LAKERS,Player Stats - All Splits,Thomas Bryant,26,14,21.9,12.9,1.8,5.3,7.2,0.9,0.4,0.5,0.9,2.1,1.0
5,LOS ANGELES LAKERS,Player Stats - All Splits,Dennis Schroder,26,23,29.0,12.6,0.2,2.0,2.2,3.7,0.6,0.0,1.8,2.1,2.1
6,LOS ANGELES LAKERS,Player Stats - All Splits,Austin Reaves,36,12,28.9,10.8,0.6,2.4,3.1,2.2,0.6,0.4,1.4,1.7,1.6
7,LOS ANGELES LAKERS,Player Stats - All Splits,Troy Brown Jr.,35,18,22.4,6.5,0.8,3.1,3.9,0.7,0.7,0.1,0.8,1.3,1.0
8,LOS ANGELES LAKERS,Player Stats - All Splits,Patrick Beverley,33,33,27.0,6.0,0.6,3.0,3.6,2.6,0.8,0.6,1.0,2.9,2.6
9,LOS ANGELES LAKERS,Player Stats - All Splits,Kendrick Nunn,32,2,12.1,5.8,0.1,1.1,1.2,0.8,0.3,0.0,0.9,0.7,1.0
10,LOS ANGELES LAKERS,Player Stats - All Splits,Wenyen Gabriel,31,2,14.5,5.8,1.5,2.4,3.9,0.5,0.4,0.5,0.8,2.1,0.7
11,LOS ANGELES LAKERS,Player Stats - All Splits,Matt Ryan,12,0,10.8,3.9,0.2,1.0,1.2,0.3,0.2,0.0,0.3,1.2,1.3
12,LOS ANGELES LAKERS,Player Stats - All Splits,Damian Jones,18,1,9.3,3.1,1.0,1.9,2.9,0.2,0.2,0.6,0.4,0.8,0.5
13,LOS ANGELES LAKERS,Player Stats - All Splits,Max Christie,22,0,13.0,3.0,0.2,1.9,2.1,0.6,0.1,0.1,0.3,0.7,1.9
14,LOS ANGELES LAKERS,Player Stats - All Splits,Juan Toscano-Anderson,20,4,12.3,2.4,0.4,1.9,2.3,0.6,0.4,0.3,0.7,1.8,0.9
15,LOS ANGELES LAKERS,Player Stats - All Splits,Scotty Pippen Jr.,4,0,6.0,1.8,0.5,0.5,1.0,0.3,0.3,0.3,0.5,0.8,0.5
16,LOS ANGELES LAKERS,Player Stats - All Splits,Cole Swider,2,0,1.5,1.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,INF
17,LOS ANGELES LAKERS,Player Stats - All Splits,Sterling Brown,2,0,2.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,INF
