,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,LOS ANGELES LAKERS,Shooting Stats - All Splits,LeBron James,11.4,22.3,51.0,2.0,6.7,29.5,4.4,5.8,75.6,9.4,15.6,60.2,1.305,0.55
1,LOS ANGELES LAKERS,Shooting Stats - All Splits,Anthony Davis,10.2,17.2,59.4,0.4,1.2,29.0,6.6,8.0,82.6,9.8,15.9,61.8,1.597,0.60
2,LOS ANGELES LAKERS,Shooting Stats - All Splits,Russell Westbrook,5.5,13.3,41.1,1.1,4.0,28.6,2.7,4.0,67.8,4.3,9.3,46.5,1.114,0.45
3,LOS ANGELES LAKERS,Shooting Stats - All Splits,Lonnie Walker IV,5.3,11.7,45.5,2.1,5.4,38.4,2.0,2.3,87.5,3.3,6.3,51.5,1.254,0.54
4,LOS ANGELES LAKERS,Shooting Stats - All Splits,Thomas Bryant,5.2,7.6,68.5,0.5,1.2,46.7,2.0,2.7,71.8,4.7,6.4,72.5,1.701,0.72
5,LOS ANGELES LAKERS,Shooting Stats - All Splits,Dennis Schroder,4.2,9.1,46.0,1.4,3.5,40.7,2.8,3.2,89.0,2.8,5.6,49.3,1.384,0.54
6,LOS ANGELES LAKERS,Shooting Stats - All Splits,Austin Reaves,3.4,7.1,48.8,1.3,3.5,36.0,2.6,2.9,89.6,2.2,3.6,61.2,1.528,0.58
7,LOS ANGELES LAKERS,Shooting Stats - All Splits,Troy Brown Jr.,2.5,5.6,43.9,1.1,3.0,35.8,0.5,0.5,100.0,1.4,2.6,53.3,1.168,0.54
8,LOS ANGELES LAKERS,Shooting Stats - All Splits,Patrick Beverley,2.1,5.2,39.3,1.1,3.3,33.6,0.8,0.9,80.6,0.9,1.9,49.2,1.145,0.50
9,LOS ANGELES LAKERS,Shooting Stats - All Splits,Kendrick Nunn,2.3,5.8,38.5,0.9,2.8,31.5,0.4,0.5,93.3,1.4,3.1,44.9,0.995,0.46
10,LOS ANGELES LAKERS,Shooting Stats - All Splits,Wenyen Gabriel,2.3,3.8,61.5,0.2,0.6,38.9,0.9,1.3,70.0,2.1,3.2,65.7,1.530,0.65
11,LOS ANGELES LAKERS,Shooting Stats - All Splits,Matt Ryan,1.3,4.1,30.6,1.1,2.9,37.1,0.3,0.4,80.0,0.2,1.2,14.3,0.959,0.44
12,LOS ANGELES LAKERS,Shooting Stats - All Splits,Damian Jones,1.1,2.0,55.6,0.0,0.2,0.0,0.8,1.1,75.0,1.1,1.8,60.6,1.528,0.56
13,LOS ANGELES LAKERS,Shooting Stats - All Splits,Max Christie,1.0,2.8,37.1,0.7,1.7,42.1,0.2,0.3,83.3,0.3,1.1,29.2,1.081,0.50
14,LOS ANGELES LAKERS,Shooting Stats - All Splits,Juan Toscano-Anderson,1.0,2.0,50.0,0.2,0.8,20.0,0.3,0.4,71.4,0.9,1.3,68.0,1.200,0.54
15,LOS ANGELES LAKERS,Shooting Stats - All Splits,Scotty Pippen Jr.,0.3,2.0,12.5,0.3,0.8,33.3,1.0,1.5,66.7,0.0,1.3,0.0,0.875,0.19
16,LOS ANGELES LAKERS,Shooting Stats - All Splits,Cole Swider,0.5,1.0,50.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.500,0.75
17,LOS ANGELES LAKERS,Shooting Stats - All Splits,Sterling Brown,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
