,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,MEMPHIS GRIZZLIES,Player Stats - All Splits,Ja Morant,33,33,32.4,27.2,1.1,4.8,5.9,8.0,1.1,0.2,3.6,1.8,2.2
1,MEMPHIS GRIZZLIES,Player Stats - All Splits,Desmond Bane,19,19,31.2,21.7,0.5,4.5,5.1,4.0,0.7,0.3,2.1,2.6,1.9
2,MEMPHIS GRIZZLIES,Player Stats - All Splits,Dillon Brooks,36,36,30.7,17.0,0.7,2.8,3.4,2.8,0.8,0.2,1.7,3.3,1.6
3,MEMPHIS GRIZZLIES,Player Stats - All Splits,Jaren Jackson Jr.,23,23,26.1,16.7,2.0,4.5,6.4,0.8,1.1,3.2,1.6,3.0,0.5
4,MEMPHIS GRIZZLIES,Player Stats - All Splits,Tyus Jones,39,6,23.6,10.4,0.4,1.9,2.3,4.8,0.9,0.1,0.9,0.4,5.2
5,MEMPHIS GRIZZLIES,Player Stats - All Splits,Brandon Clarke,35,3,19.5,10.1,1.4,4.1,5.5,1.1,0.5,0.7,1.1,2.4,1.0
6,MEMPHIS GRIZZLIES,Player Stats - All Splits,Santi Aldama,36,16,22.8,9.3,1.3,3.8,5.1,1.3,0.7,0.9,0.6,2.3,2.2
7,MEMPHIS GRIZZLIES,Player Stats - All Splits,Steven Adams,35,35,26.8,8.0,5.0,6.2,11.2,2.2,0.9,1.2,1.9,2.4,1.1
8,MEMPHIS GRIZZLIES,Player Stats - All Splits,John Konchar,37,22,25.2,7.2,1.0,4.4,5.4,1.6,1.2,0.3,0.6,1.6,2.4
9,MEMPHIS GRIZZLIES,Player Stats - All Splits,David Roddy,37,1,18.6,6.5,0.6,2.1,2.7,0.7,0.4,0.3,0.8,1.5,0.9
10,MEMPHIS GRIZZLIES,Player Stats - All Splits,Ziaire Williams,13,0,16.2,5.8,0.4,2.7,3.1,1.1,0.5,0.2,1.4,2.0,0.8
11,MEMPHIS GRIZZLIES,Player Stats - All Splits,Xavier Tillman,23,1,11.3,4.4,1.3,1.6,2.9,0.6,0.6,0.3,0.4,1.0,1.6
12,MEMPHIS GRIZZLIES,Player Stats - All Splits,Jake LaRavia,23,0,14.4,3.7,0.7,1.7,2.3,0.8,0.4,0.1,0.7,1.7,1.2
13,MEMPHIS GRIZZLIES,Player Stats - All Splits,Kennedy Chandler,19,0,10.0,2.9,0.3,1.2,1.4,2.2,0.5,0.3,0.8,0.6,2.7
14,MEMPHIS GRIZZLIES,Player Stats - All Splits,Kenneth Lofton Jr.,6,0,4.0,2.5,0.2,0.5,0.7,0.7,0.0,0.0,0.2,0.5,4.0
15,MEMPHIS GRIZZLIES,Player Stats - All Splits,Vince Williams Jr.,8,0,5.5,0.9,0.1,0.5,0.6,0.4,0.5,0.1,0.0,0.6,INF
