,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Ja Morant,9.7,20.8,46.4,1.6,5.3,31.0,6.3,8.4,75.0,8.0,15.5,51.7,1.309,0.50
1,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Desmond Bane,7.3,16.7,43.5,3.1,7.7,39.5,4.2,4.6,89.8,4.2,8.9,47.1,1.303,0.53
2,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Dillon Brooks,6.4,15.6,40.7,2.1,6.4,33.6,2.2,2.7,79.6,4.2,9.3,45.5,1.089,0.48
3,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Jaren Jackson Jr.,6.0,11.7,51.3,1.5,4.2,36.1,3.2,4.2,76.0,4.5,7.5,59.9,1.428,0.58
4,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Tyus Jones,3.9,8.8,44.2,1.6,4.1,38.6,1.1,1.4,78.6,2.3,4.7,48.9,1.190,0.53
5,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Brandon Clarke,4.1,6.3,65.2,0.0,0.2,16.7,1.9,2.5,75.0,4.1,6.1,66.5,1.606,0.65
6,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Santi Aldama,3.3,7.1,46.9,1.3,3.5,36.2,1.4,1.9,72.5,2.1,3.6,57.4,1.313,0.56
7,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Steven Adams,3.5,6.2,57.4,0.0,0.0,0.0,0.9,2.7,33.3,3.5,6.1,57.7,1.296,0.57
8,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,John Konchar,2.7,5.9,45.7,1.2,3.4,37.1,0.5,0.6,87.0,1.5,2.6,56.8,1.215,0.56
9,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,David Roddy,2.5,6.0,41.0,0.9,3.2,27.7,0.7,1.2,58.1,1.6,2.8,56.3,1.081,0.48
10,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Ziaire Williams,2.3,5.6,41.1,0.7,2.8,25.0,0.5,0.5,100.0,1.6,2.8,56.8,1.041,0.47
11,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Xavier Tillman,2.0,3.2,61.6,0.1,0.4,33.3,0.4,0.9,42.9,1.8,2.8,65.6,1.397,0.64
12,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Jake LaRavia,1.3,3.2,41.1,0.8,2.2,37.3,0.3,0.3,85.7,0.5,1.0,50.0,1.164,0.54
13,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Kennedy Chandler,1.3,3.1,41.4,0.1,0.6,16.7,0.3,0.6,45.5,1.2,2.4,47.8,0.948,0.43
14,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Kenneth Lofton Jr.,1.2,2.5,46.7,0.0,0.3,0.0,0.2,0.5,33.3,1.2,2.2,53.8,1.000,0.47
15,MEMPHIS GRIZZLIES,Shooting Stats - All Splits,Vince Williams Jr.,0.4,1.4,27.3,0.1,1.0,12.5,0.0,0.0,0.0,0.3,0.4,66.7,0.636,0.32
