,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,MIAMI HEAT,Player Stats - All Splits,Jimmy Butler,27,27,34.7,21.6,2.1,4.3,6.4,5.6,2.1,0.3,1.7,1.3,3.2
1,MIAMI HEAT,Player Stats - All Splits,Bam Adebayo,37,37,35.2,21.4,2.8,7.1,9.9,3.1,1.1,0.8,2.9,3.0,1.1
2,MIAMI HEAT,Player Stats - All Splits,Tyler Herro,32,32,35.4,21.2,0.5,5.5,6.0,4.4,1.0,0.3,2.6,1.8,1.7
3,MIAMI HEAT,Player Stats - All Splits,Kyle Lowry,36,36,35.0,13.1,0.8,3.7,4.4,5.6,1.1,0.5,2.1,2.9,2.7
4,MIAMI HEAT,Player Stats - All Splits,Max Strus,39,21,30.3,13.0,0.5,2.8,3.4,2.0,0.8,0.2,0.9,2.0,2.3
5,MIAMI HEAT,Player Stats - All Splits,Victor Oladipo,15,1,27.4,10.9,0.5,2.5,3.0,3.3,1.7,0.3,1.6,2.9,2.0
6,MIAMI HEAT,Player Stats - All Splits,Caleb Martin,34,34,31.4,10.4,1.5,3.3,4.8,1.9,1.0,0.4,1.1,1.9,1.7
7,MIAMI HEAT,Player Stats - All Splits,Gabe Vincent,27,1,23.7,8.0,0.4,1.7,2.0,2.6,0.7,0.1,1.3,2.4,2.1
8,MIAMI HEAT,Player Stats - All Splits,Duncan Robinson,28,0,17.9,6.9,0.3,1.7,1.9,1.2,0.3,0.0,0.7,2.0,1.7
9,MIAMI HEAT,Player Stats - All Splits,Dewayne Dedmon,28,0,11.9,6.0,1.0,2.7,3.7,0.5,0.2,0.5,0.7,2.1,0.8
10,MIAMI HEAT,Player Stats - All Splits,Nikola Jovic,15,8,13.6,5.5,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,1.0
11,MIAMI HEAT,Player Stats - All Splits,Orlando Robinson,13,0,14.7,5.3,1.6,2.5,4.2,1.1,0.5,0.4,0.6,1.8,1.8
12,MIAMI HEAT,Player Stats - All Splits,Haywood Highsmith,28,6,19.6,4.5,1.0,2.7,3.7,0.8,0.9,0.4,0.8,1.4,0.9
13,MIAMI HEAT,Player Stats - All Splits,Jamal Cain,10,0,10.5,4.0,0.8,1.4,2.2,0.5,0.5,0.0,0.2,1.0,2.5
14,MIAMI HEAT,Player Stats - All Splits,Dru Smith,5,1,13.4,2.2,0.2,1.6,1.8,1.0,0.8,0.6,0.2,2.0,5.0
15,MIAMI HEAT,Player Stats - All Splits,Udonis Haslem,5,1,7.4,0.6,0.6,0.6,1.2,0.0,0.2,0.2,0.0,1.4,0.0
