,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,MIAMI HEAT,Shooting Stats - All Splits,Jimmy Butler,7.3,14.1,51.6,0.7,2.1,32.8,6.3,7.6,82.5,6.6,12.0,54.9,1.526,0.54
1,MIAMI HEAT,Shooting Stats - All Splits,Bam Adebayo,8.5,15.8,53.8,0.0,0.3,10.0,4.4,5.4,80.6,8.5,15.5,54.6,1.356,0.54
2,MIAMI HEAT,Shooting Stats - All Splits,Tyler Herro,7.5,16.8,44.5,3.3,8.5,39.2,2.8,3.1,91.8,4.2,8.3,50.0,1.256,0.54
3,MIAMI HEAT,Shooting Stats - All Splits,Kyle Lowry,4.1,10.4,39.8,2.2,6.5,33.6,2.6,3.0,86.2,1.9,3.9,50.4,1.259,0.50
4,MIAMI HEAT,Shooting Stats - All Splits,Max Strus,4.6,11.4,40.5,2.7,7.9,34.4,1.1,1.2,85.4,1.9,3.5,54.4,1.142,0.52
5,MIAMI HEAT,Shooting Stats - All Splits,Victor Oladipo,3.6,8.9,40.6,1.5,4.8,31.9,2.2,2.9,76.7,2.1,4.1,50.8,1.233,0.49
6,MIAMI HEAT,Shooting Stats - All Splits,Caleb Martin,4.0,8.6,45.9,1.4,3.7,38.9,1.0,1.3,77.3,2.5,4.9,51.2,1.201,0.54
7,MIAMI HEAT,Shooting Stats - All Splits,Gabe Vincent,2.9,7.6,38.7,1.3,4.5,29.8,0.8,1.0,80.8,1.6,3.1,51.8,1.054,0.48
8,MIAMI HEAT,Shooting Stats - All Splits,Duncan Robinson,2.3,6.2,36.8,1.6,5.0,33.1,0.7,0.8,90.9,0.6,1.3,51.4,1.115,0.50
9,MIAMI HEAT,Shooting Stats - All Splits,Dewayne Dedmon,2.3,4.5,51.2,0.4,1.3,30.6,1.1,1.5,71.4,1.9,3.2,59.6,1.352,0.56
10,MIAMI HEAT,Shooting Stats - All Splits,Nikola Jovic,1.9,4.6,40.6,0.5,2.3,22.9,1.2,1.3,94.7,1.3,2.3,58.8,1.188,0.46
11,MIAMI HEAT,Shooting Stats - All Splits,Orlando Robinson,2.2,4.0,55.8,0.0,0.4,0.0,0.8,1.1,78.6,2.2,3.6,61.7,1.327,0.56
12,MIAMI HEAT,Shooting Stats - All Splits,Haywood Highsmith,1.8,4.4,40.3,0.7,2.1,33.3,0.2,0.6,37.5,1.1,2.3,46.9,1.016,0.48
13,MIAMI HEAT,Shooting Stats - All Splits,Jamal Cain,1.7,3.1,54.8,0.1,0.6,16.7,0.5,0.9,55.6,1.6,2.5,64.0,1.290,0.56
14,MIAMI HEAT,Shooting Stats - All Splits,Dru Smith,1.0,2.8,35.7,0.2,1.2,16.7,0.0,0.0,0.0,0.8,1.6,50.0,0.786,0.39
15,MIAMI HEAT,Shooting Stats - All Splits,Udonis Haslem,0.2,2.0,10.0,0.0,0.2,0.0,0.2,0.4,50.0,0.2,1.8,11.1,0.300,0.10
