,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,MILWAUKEE BUCKS,Player Stats - All Splits,Giannis Antetokounmpo,33,33,33.6,32.0,2.2,9.6,11.8,5.2,0.8,0.9,4.1,3.5,1.3
1,MILWAUKEE BUCKS,Player Stats - All Splits,Jrue Holiday,28,26,32.1,18.2,1.2,3.8,5.0,7.1,1.5,0.4,3.2,1.9,2.2
2,MILWAUKEE BUCKS,Player Stats - All Splits,Brook Lopez,38,38,30.3,14.5,2.1,4.4,6.5,1.2,0.5,2.6,1.4,2.4,0.9
3,MILWAUKEE BUCKS,Player Stats - All Splits,Bobby Portis,39,9,26.5,14.2,2.7,7.6,10.3,1.8,0.4,0.3,1.2,1.7,1.6
4,MILWAUKEE BUCKS,Player Stats - All Splits,Khris Middleton,7,7,24.4,11.1,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,2.8
5,MILWAUKEE BUCKS,Player Stats - All Splits,Grayson Allen,36,34,27.4,10.3,1.0,2.6,3.6,2.6,0.7,0.2,1.1,1.4,2.4
6,MILWAUKEE BUCKS,Player Stats - All Splits,Jevon Carter,39,30,25.2,7.4,0.6,2.3,2.9,3.0,1.2,0.5,1.4,2.1,2.2
7,MILWAUKEE BUCKS,Player Stats - All Splits,Pat Connaughton,23,7,21.9,7.3,0.5,3.0,3.5,1.0,0.5,0.1,0.5,1.1,1.8
8,MILWAUKEE BUCKS,Player Stats - All Splits,MarJon Beauchamp,28,8,15.6,6.3,1.0,1.6,2.6,0.6,0.5,0.1,1.1,1.7,0.6
9,MILWAUKEE BUCKS,Player Stats - All Splits,Jordan Nwora,29,3,16.0,6.0,0.7,2.3,3.0,1.0,0.3,0.1,1.0,0.8,1.0
10,MILWAUKEE BUCKS,Player Stats - All Splits,George Hill,31,0,19.7,5.0,0.4,1.7,2.1,2.6,0.5,0.1,0.9,1.2,3.0
11,MILWAUKEE BUCKS,Player Stats - All Splits,Joe Ingles,9,0,18.6,5.0,0.6,1.2,1.8,3.3,0.4,0.1,2.1,1.4,1.6
12,MILWAUKEE BUCKS,Player Stats - All Splits,AJ Green,17,0,8.8,4.3,0.2,1.0,1.2,0.5,0.2,0.0,0.2,1.1,2.0
13,MILWAUKEE BUCKS,Player Stats - All Splits,Serge Ibaka,16,0,11.6,4.1,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,0.4
14,MILWAUKEE BUCKS,Player Stats - All Splits,Wesley Matthews,26,0,14.8,2.9,0.7,0.9,1.6,0.6,0.5,0.2,0.4,1.5,1.6
15,MILWAUKEE BUCKS,Player Stats - All Splits,Sandro Mamukelashvili,17,0,8.5,2.1,0.6,1.6,2.3,0.8,0.1,0.2,0.3,0.7,2.6
16,MILWAUKEE BUCKS,Player Stats - All Splits,Thanasis Antetokounmpo,19,0,4.4,0.5,0.3,0.6,0.9,0.2,0.1,0.2,0.4,0.4,0.4
