,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,MILWAUKEE BUCKS,Shooting Stats - All Splits,Giannis Antetokounmpo,11.3,21.3,53.0,0.7,3.0,24.2,8.7,13.2,65.4,10.6,18.3,57.7,1.500,0.55
1,MILWAUKEE BUCKS,Shooting Stats - All Splits,Jrue Holiday,6.8,15.0,44.9,2.3,6.0,37.5,2.4,2.8,88.3,4.5,9.0,49.8,1.209,0.52
2,MILWAUKEE BUCKS,Shooting Stats - All Splits,Brook Lopez,5.5,10.8,50.7,1.9,4.9,38.4,1.7,2.1,79.7,3.6,5.9,60.9,1.341,0.59
3,MILWAUKEE BUCKS,Shooting Stats - All Splits,Bobby Portis,5.9,12.0,49.6,1.2,3.6,32.4,1.1,1.4,81.5,4.8,8.4,57.1,1.184,0.54
4,MILWAUKEE BUCKS,Shooting Stats - All Splits,Khris Middleton,3.6,11.0,32.5,1.6,5.9,26.8,2.4,2.7,89.5,2.0,5.1,38.9,1.013,0.40
5,MILWAUKEE BUCKS,Shooting Stats - All Splits,Grayson Allen,3.3,7.7,43.0,1.8,4.7,38.2,1.9,2.1,90.5,1.5,3.0,50.5,1.336,0.55
6,MILWAUKEE BUCKS,Shooting Stats - All Splits,Jevon Carter,2.8,6.9,40.3,1.3,3.5,37.7,0.5,0.6,87.0,1.4,3.3,43.1,1.075,0.50
7,MILWAUKEE BUCKS,Shooting Stats - All Splits,Pat Connaughton,2.6,7.3,35.3,1.7,5.5,31.5,0.5,0.7,64.7,0.8,1.7,47.5,1.012,0.47
8,MILWAUKEE BUCKS,Shooting Stats - All Splits,MarJon Beauchamp,2.3,5.5,41.3,1.1,3.2,33.7,0.6,0.9,72.0,1.2,2.4,51.5,1.135,0.51
9,MILWAUKEE BUCKS,Shooting Stats - All Splits,Jordan Nwora,2.0,5.2,37.5,1.0,2.7,37.7,1.0,1.2,85.7,1.0,2.6,37.3,1.138,0.47
10,MILWAUKEE BUCKS,Shooting Stats - All Splits,George Hill,1.7,3.8,43.7,0.6,2.1,30.8,1.0,1.4,72.7,1.0,1.7,59.3,1.311,0.52
11,MILWAUKEE BUCKS,Shooting Stats - All Splits,Joe Ingles,1.7,5.3,31.3,1.3,4.7,28.6,0.3,0.3,100.0,0.3,0.7,50.0,0.938,0.44
12,MILWAUKEE BUCKS,Shooting Stats - All Splits,AJ Green,1.5,3.1,50.0,1.0,2.4,41.5,0.2,0.2,100.0,0.5,0.6,81.8,1.404,0.66
13,MILWAUKEE BUCKS,Shooting Stats - All Splits,Serge Ibaka,1.6,3.4,48.1,0.4,1.1,33.3,0.5,0.8,61.5,1.3,2.3,55.6,1.222,0.54
14,MILWAUKEE BUCKS,Shooting Stats - All Splits,Wesley Matthews,0.9,2.9,32.0,0.7,2.3,31.1,0.3,0.4,90.0,0.2,0.5,35.7,1.013,0.45
15,MILWAUKEE BUCKS,Shooting Stats - All Splits,Sandro Mamukelashvili,0.7,2.3,30.8,0.3,1.2,23.8,0.4,0.7,58.3,0.4,1.1,38.9,0.923,0.37
16,MILWAUKEE BUCKS,Shooting Stats - All Splits,Thanasis Antetokounmpo,0.2,0.7,21.4,0.0,0.2,0.0,0.2,0.3,50.0,0.2,0.5,30.0,0.643,0.21
