,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Anthony Edwards,41,41,36.5,23.7,0.6,5.5,6.1,4.3,1.7,0.6,3.2,2.8,1.4
1,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Karl-Anthony Towns,21,21,33.8,20.8,1.7,6.5,8.2,5.3,0.8,0.7,3.1,3.9,1.7
2,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,D'Angelo Russell,38,38,32.7,17.1,0.5,2.7,3.2,6.4,1.1,0.5,2.7,2.2,2.3
3,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Rudy Gobert,35,35,31.6,14.0,3.5,8.4,11.9,0.9,0.7,1.4,1.7,3.1,0.5
4,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Jaden McDaniels,38,38,30.6,11.6,1.3,2.4,3.8,1.8,1.1,1.1,1.5,3.5,1.2
5,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Jaylen Nowell,41,1,20.2,11.4,0.7,2.1,2.8,2.2,0.7,0.1,1.0,1.7,2.2
6,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Naz Reid,33,4,17.6,10.4,0.9,3.8,4.7,0.9,0.5,0.9,1.2,2.2,0.8
7,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Taurean Prince,21,0,20.2,8.4,0.3,2.0,2.4,1.2,0.3,0.2,1.3,2.7,1.0
8,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Kyle Anderson,31,16,25.5,7.9,0.6,3.7,4.3,3.7,1.2,0.7,1.4,2.1,2.6
9,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Austin Rivers,31,9,20.3,5.3,0.1,1.6,1.6,1.5,0.5,0.0,0.6,1.7,2.5
10,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Luka Garza,11,0,6.7,5.1,0.6,1.1,1.7,0.4,0.1,0.1,0.4,1.3,1.0
11,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Jordan McLaughlin,18,0,15.9,4.1,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.6
12,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Bryn Forbes,21,0,10.6,3.2,0.2,0.4,0.6,0.6,0.3,0.0,0.4,0.8,1.6
13,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Matt Ryan,11,0,7.6,2.6,0.2,0.5,0.6,0.4,0.2,0.1,0.3,0.2,1.3
14,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Nathan Knight,19,0,5.7,2.6,0.5,0.8,1.3,0.3,0.2,0.1,0.5,0.7,0.6
15,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,A.J. Lawson,1,0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Wendell Moore Jr.,17,2,5.8,1.9,0.1,0.6,0.8,0.5,0.3,0.2,0.4,0.6,1.3
17,MINNESOTA TIMBERWOLVES,Player Stats - All Splits,Josh Minott,7,0,2.3,1.4,0.3,0.4,0.7,0.3,0.1,0.3,0.0,0.3,INF
