,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Anthony Edwards,8.5,18.6,45.6,2.6,7.1,36.1,4.2,5.6,75.0,5.9,11.5,51.5,1.275,0.52
1,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Karl-Anthony Towns,7.3,14.4,50.5,1.8,5.6,32.5,4.4,5.0,88.5,5.5,8.9,61.8,1.439,0.57
2,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,D'Angelo Russell,6.0,13.2,45.8,2.3,6.4,35.2,2.8,3.3,85.6,3.8,6.7,55.9,1.302,0.54
3,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Rudy Gobert,5.4,8.0,67.5,0.0,0.1,0.0,3.2,4.8,67.1,5.4,7.9,68.2,1.750,0.68
4,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Jaden McDaniels,4.6,8.6,52.9,1.2,3.1,37.9,1.3,1.7,74.2,3.4,5.6,61.1,1.343,0.60
5,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Jaylen Nowell,4.5,10.4,43.5,1.1,4.0,29.0,1.2,1.5,78.7,3.4,6.5,52.3,1.091,0.49
6,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Naz Reid,4.2,7.5,55.6,1.0,2.7,37.5,1.1,1.7,63.6,3.2,4.8,65.6,1.387,0.62
7,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Taurean Prince,3.1,6.1,50.8,1.3,3.3,39.1,1.0,1.2,76.9,1.8,2.8,64.4,1.383,0.61
8,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Kyle Anderson,2.8,5.8,48.3,0.5,1.3,41.5,1.7,2.1,81.5,2.3,4.5,50.4,1.356,0.53
9,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Austin Rivers,1.8,4.0,45.2,0.9,2.4,37.8,0.8,0.9,86.2,0.9,1.6,56.0,1.331,0.56
10,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Luka Garza,1.7,3.0,57.6,0.1,0.7,12.5,1.5,1.7,89.5,1.6,2.3,72.0,1.697,0.59
11,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Jordan McLaughlin,1.6,3.7,42.4,0.4,1.9,23.5,0.5,0.5,100.0,1.1,1.8,62.5,1.106,0.48
12,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Bryn Forbes,1.1,3.3,33.3,0.4,1.7,25.0,0.6,0.6,100.0,0.7,1.6,42.4,0.971,0.40
13,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Matt Ryan,0.9,2.5,35.7,0.6,2.0,31.8,0.2,0.2,100.0,0.3,0.5,50.0,1.036,0.48
14,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Nathan Knight,0.9,1.3,68.0,0.1,0.3,40.0,0.7,1.1,66.7,0.8,1.1,75.0,2.000,0.72
15,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,A.J. Lawson,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.000,1.00
16,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Wendell Moore Jr.,0.8,1.7,44.8,0.1,0.7,16.7,0.2,0.3,80.0,0.6,1.0,64.7,1.103,0.48
17,MINNESOTA TIMBERWOLVES,Shooting Stats - All Splits,Josh Minott,0.4,0.7,60.0,0.0,0.1,0.0,0.6,0.6,100.0,0.4,0.6,75.0,2.000,0.60
