,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,NEW ORLEANS PELICANS,Player Stats - All Splits,Zion Williamson,29,29,33.0,26.0,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,1.3
1,NEW ORLEANS PELICANS,Player Stats - All Splits,Brandon Ingram,15,15,32.1,20.8,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,1.7
2,NEW ORLEANS PELICANS,Player Stats - All Splits,CJ McCollum,35,35,35.3,20.4,0.9,3.9,4.8,6.0,1.0,0.6,2.6,1.7,2.3
3,NEW ORLEANS PELICANS,Player Stats - All Splits,Jonas Valanciunas,40,40,24.8,13.8,2.9,6.8,9.6,1.8,0.4,0.5,1.9,3.1,0.9
4,NEW ORLEANS PELICANS,Player Stats - All Splits,Trey Murphy III,37,27,28.5,12.5,0.9,3.0,3.9,1.3,0.9,0.5,0.8,2.2,1.7
5,NEW ORLEANS PELICANS,Player Stats - All Splits,Herbert Jones,28,28,28.6,10.1,1.3,2.6,3.9,2.1,1.5,0.7,1.2,3.4,1.8
6,NEW ORLEANS PELICANS,Player Stats - All Splits,Naji Marshall,38,12,23.9,9.8,0.8,2.8,3.6,2.3,0.8,0.2,1.2,1.5,1.9
7,NEW ORLEANS PELICANS,Player Stats - All Splits,Jose Alvarado,39,8,20.9,9.2,0.5,2.0,2.4,3.1,1.2,0.1,1.4,2.0,2.3
8,NEW ORLEANS PELICANS,Player Stats - All Splits,Larry Nance Jr.,30,0,22.7,8.3,1.7,4.0,5.7,1.8,0.9,0.8,0.9,2.3,2.0
9,NEW ORLEANS PELICANS,Player Stats - All Splits,Kira Lewis Jr.,3,0,11.7,7.7,0.3,1.3,1.7,0.3,0.3,0.0,0.7,1.7,0.5
10,NEW ORLEANS PELICANS,Player Stats - All Splits,Willy Hernangomez,21,0,11.8,6.9,2.0,2.7,4.7,0.9,0.3,0.3,1.1,1.6,0.8
11,NEW ORLEANS PELICANS,Player Stats - All Splits,Devonte' Graham,40,0,15.0,5.0,0.3,1.2,1.5,2.1,0.5,0.2,0.5,0.8,4.0
12,NEW ORLEANS PELICANS,Player Stats - All Splits,Jaxson Hayes,20,1,13.1,4.7,0.9,2.2,3.0,0.9,0.4,0.5,0.6,1.3,1.5
13,NEW ORLEANS PELICANS,Player Stats - All Splits,Dyson Daniels,31,5,18.6,4.3,0.7,2.6,3.3,2.2,0.8,0.2,0.8,1.8,2.6
14,NEW ORLEANS PELICANS,Player Stats - All Splits,Garrett Temple,13,0,8.2,2.6,0.2,0.6,0.8,0.5,0.7,0.1,0.2,0.8,2.3
15,NEW ORLEANS PELICANS,Player Stats - All Splits,Dereon Seabron,2,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
