,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Zion Williamson,9.8,16.2,60.8,0.2,0.7,36.8,6.1,8.6,71.4,9.6,15.5,61.8,1.608,0.62
1,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Brandon Ingram,7.3,15.4,47.2,1.9,4.0,46.7,4.4,5.1,86.8,5.4,11.4,47.4,1.351,0.53
2,NEW ORLEANS PELICANS,Shooting Stats - All Splits,CJ McCollum,7.7,18.1,42.4,2.9,7.3,39.8,2.1,2.7,79.8,4.8,10.8,44.1,1.126,0.50
3,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Jonas Valanciunas,5.4,10.4,51.9,0.6,1.8,34.2,2.4,2.9,84.2,4.8,8.5,55.7,1.331,0.55
4,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Trey Murphy III,4.2,8.8,47.8,2.3,5.5,41.4,1.9,2.1,92.1,1.9,3.3,58.7,1.432,0.61
5,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Herbert Jones,3.5,8.1,42.5,0.9,2.9,29.6,2.4,3.0,77.6,2.6,5.3,49.7,1.246,0.48
6,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Naji Marshall,3.3,7.6,43.8,1.1,3.3,33.6,2.1,2.6,79.6,2.2,4.3,51.5,1.292,0.51
7,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Jose Alvarado,3.3,8.0,41.5,1.4,4.2,33.3,1.1,1.4,76.8,1.9,3.8,50.7,1.144,0.50
8,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Larry Nance Jr.,3.6,5.7,62.6,0.3,0.9,38.5,0.8,1.1,72.7,3.2,4.8,66.9,1.450,0.65
9,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Kira Lewis Jr.,2.7,5.7,47.1,0.3,1.3,25.0,2.0,2.0,100.0,2.3,4.3,53.8,1.353,0.50
10,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Willy Hernangomez,2.3,4.4,51.6,0.0,0.3,16.7,2.2,2.8,79.7,2.2,4.1,54.0,1.548,0.52
11,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Devonte' Graham,1.5,4.3,34.9,1.1,3.5,32.6,0.9,1.1,77.3,0.4,0.9,44.1,1.157,0.48
12,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Jaxson Hayes,1.7,3.3,50.8,0.2,0.9,17.6,1.2,1.8,68.6,1.5,2.4,62.5,1.431,0.53
13,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Dyson Daniels,1.6,3.7,43.5,0.5,1.5,36.2,0.5,0.8,60.0,1.1,2.2,48.5,1.148,0.51
14,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Garrett Temple,0.9,2.2,41.4,0.5,1.4,38.9,0.2,0.3,75.0,0.4,0.8,45.5,1.172,0.53
15,NEW ORLEANS PELICANS,Shooting Stats - All Splits,Dereon Seabron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
