,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,NEW YORK KNICKS,Player Stats - All Splits,Julius Randle,40,40,35.2,24.4,2.0,8.0,10.0,3.8,0.8,0.4,2.6,3.1,1.5
1,NEW YORK KNICKS,Player Stats - All Splits,Jalen Brunson,37,37,33.0,20.9,0.5,2.9,3.4,6.6,1.0,0.1,2.2,2.3,3.0
2,NEW YORK KNICKS,Player Stats - All Splits,RJ Barrett,35,35,34.1,19.7,0.9,4.6,5.5,3.0,0.5,0.2,2.4,2.4,1.2
3,NEW YORK KNICKS,Player Stats - All Splits,Immanuel Quickley,40,7,26.6,11.9,0.7,3.5,4.1,3.4,1.0,0.1,1.3,2.1,2.7
4,NEW YORK KNICKS,Player Stats - All Splits,Quentin Grimes,29,24,28.6,10.4,0.8,2.4,3.2,2.1,0.7,0.5,1.2,2.8,1.8
5,NEW YORK KNICKS,Player Stats - All Splits,Cam Reddish,20,8,21.9,8.4,0.4,1.2,1.6,1.0,0.8,0.4,0.8,1.6,1.3
6,NEW YORK KNICKS,Player Stats - All Splits,Obi Toppin,25,0,17.1,7.7,0.6,3.2,3.8,1.0,0.4,0.2,0.8,1.1,1.4
7,NEW YORK KNICKS,Player Stats - All Splits,Mitchell Robinson,32,31,26.2,7.6,4.3,4.7,9.0,1.0,0.7,1.8,0.5,3.0,1.9
8,NEW YORK KNICKS,Player Stats - All Splits,Evan Fournier,18,7,18.6,6.9,0.1,2.0,2.1,1.4,0.7,0.2,0.9,1.8,1.5
9,NEW YORK KNICKS,Player Stats - All Splits,Derrick Rose,26,0,12.9,5.8,0.3,1.2,1.5,1.8,0.3,0.2,0.8,0.7,2.1
10,NEW YORK KNICKS,Player Stats - All Splits,Isaiah Hartenstein,40,7,19.3,5.4,2.8,3.6,6.4,0.8,0.7,0.7,0.9,2.4,0.9
11,NEW YORK KNICKS,Player Stats - All Splits,Miles McBride,28,2,14.4,4.0,0.2,0.6,0.8,1.2,0.6,0.0,0.5,0.9,2.4
12,NEW YORK KNICKS,Player Stats - All Splits,Jericho Sims,32,2,12.3,3.6,1.8,2.4,4.2,0.3,0.2,0.6,0.4,1.6,0.9
13,NEW YORK KNICKS,Player Stats - All Splits,Svi Mykhailiuk,12,0,3.3,1.8,0.0,0.6,0.6,0.1,0.1,0.0,0.2,0.1,0.5
14,NEW YORK KNICKS,Player Stats - All Splits,Ryan Arcidiacono,10,0,2.5,0.3,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,2.0
15,NEW YORK KNICKS,Player Stats - All Splits,Trevor Keels,1,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
