,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,NEW YORK KNICKS,Shooting Stats - All Splits,Julius Randle,8.1,17.6,46.2,2.7,7.7,35.0,5.4,7.2,75.1,5.4,9.9,55.1,1.387,0.54
1,NEW YORK KNICKS,Shooting Stats - All Splits,Jalen Brunson,7.6,16.2,46.8,1.6,4.3,38.0,4.1,4.9,83.6,6.0,12.0,49.9,1.290,0.52
2,NEW YORK KNICKS,Shooting Stats - All Splits,RJ Barrett,6.9,16.1,42.7,1.8,5.3,33.2,4.2,5.5,76.2,5.1,10.8,47.4,1.223,0.48
3,NEW YORK KNICKS,Shooting Stats - All Splits,Immanuel Quickley,4.1,10.1,40.9,1.6,4.8,32.8,2.1,2.5,84.7,2.6,5.3,48.3,1.181,0.49
4,NEW YORK KNICKS,Shooting Stats - All Splits,Quentin Grimes,3.7,7.9,46.7,1.9,5.1,37.6,1.1,1.4,78.0,1.8,2.8,63.7,1.319,0.59
5,NEW YORK KNICKS,Shooting Stats - All Splits,Cam Reddish,3.1,6.8,44.9,0.9,2.8,30.4,1.5,1.7,87.9,2.2,4.0,55.0,1.235,0.51
6,NEW YORK KNICKS,Shooting Stats - All Splits,Obi Toppin,2.9,6.8,42.1,1.4,3.9,35.1,0.6,0.7,82.4,1.5,3.0,51.4,1.123,0.52
7,NEW YORK KNICKS,Shooting Stats - All Splits,Mitchell Robinson,3.3,4.7,70.5,0.0,0.0,0.0,1.1,2.0,54.0,3.3,4.7,70.5,1.638,0.70
8,NEW YORK KNICKS,Shooting Stats - All Splits,Evan Fournier,2.3,6.6,35.3,1.3,4.2,31.6,0.9,1.1,84.2,1.0,2.4,41.9,1.042,0.45
9,NEW YORK KNICKS,Shooting Stats - All Splits,Derrick Rose,2.3,6.0,39.4,0.7,2.3,31.7,0.4,0.5,91.7,1.6,3.7,44.2,0.981,0.45
10,NEW YORK KNICKS,Shooting Stats - All Splits,Isaiah Hartenstein,2.3,4.5,50.3,0.2,0.8,25.0,0.7,0.9,75.7,2.1,3.7,55.8,1.207,0.53
11,NEW YORK KNICKS,Shooting Stats - All Splits,Miles McBride,1.4,4.0,36.0,0.7,2.6,27.8,0.5,0.7,68.4,0.7,1.4,51.3,1.018,0.45
12,NEW YORK KNICKS,Shooting Stats - All Splits,Jericho Sims,1.7,2.1,77.9,0.0,0.0,0.0,0.3,0.3,80.0,1.7,2.1,77.9,1.676,0.78
13,NEW YORK KNICKS,Shooting Stats - All Splits,Svi Mykhailiuk,0.5,1.0,50.0,0.5,0.8,60.0,0.3,0.4,60.0,0.0,0.2,0.0,1.750,0.75
14,NEW YORK KNICKS,Shooting Stats - All Splits,Ryan Arcidiacono,0.1,0.5,20.0,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.2,0.0,0.600,0.30
15,NEW YORK KNICKS,Shooting Stats - All Splits,Trevor Keels,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
