,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Shai Gilgeous-Alexander,36,36,35.7,30.9,0.8,3.9,4.8,5.6,1.6,1.1,3.2,2.8,1.8
1,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Josh Giddey,35,35,30.7,15.3,1.8,6.1,7.8,5.4,0.7,0.4,3.0,2.1,1.8
2,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Luguentz Dort,39,39,30.1,14.3,1.4,2.8,4.2,2.3,1.1,0.3,1.5,3.2,1.5
3,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Jalen Williams,36,23,27.7,11.6,0.8,3.0,3.8,2.8,0.9,0.5,1.6,2.5,1.7
4,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Aleksej Pokusevski,31,25,21.8,8.8,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,1.5
5,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Tre Mann,35,4,20.5,8.8,0.5,2.1,2.6,1.8,0.8,0.2,1.0,1.5,1.8
6,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Jeremiah Robinson-Earl,26,18,21.1,8.5,2.0,3.0,5.0,1.0,0.7,0.4,0.6,1.9,1.6
7,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Kenrich Williams,32,5,21.6,7.5,1.9,2.8,4.7,1.5,0.7,0.3,0.4,2.1,3.5
8,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Isaiah Joe,33,1,13.5,7.1,0.3,1.7,2.0,1.1,0.6,0.1,0.4,1.5,2.6
9,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Aaron Wiggins,31,7,18.4,6.3,1.0,2.5,3.5,1.5,0.5,0.1,0.9,1.5,1.7
10,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Mike Muscala,30,2,14.1,5.8,0.5,2.6,3.1,0.9,0.3,0.6,0.3,1.8,2.8
11,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Darius Bazley,25,1,16.2,5.6,0.8,2.7,3.5,0.9,0.5,1.0,0.7,1.2,1.4
12,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Eugene Omoruyi,19,1,12.2,5.2,0.9,1.4,2.3,0.5,0.7,0.0,0.7,2.1,0.6
13,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Ousmane Dieng,14,0,15.7,4.4,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,2.9
14,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Lindy Waters III,14,0,11.8,4.1,0.4,1.1,1.6,0.8,0.4,0.3,0.2,0.8,3.7
15,OKLAHOMA CITY THUNDER,Player Stats - All Splits,Jaylin Williams,11,3,11.9,3.0,0.8,2.7,3.5,1.1,0.5,0.1,0.5,2.1,2.0
