,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Shai Gilgeous-Alexander,10.3,20.6,50.1,1.0,2.8,34.3,9.4,10.3,91.1,9.3,17.7,52.7,1.505,0.53
1,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Josh Giddey,6.5,13.8,47.1,1.1,3.1,35.5,1.1,1.4,78.0,5.4,10.7,50.5,1.103,0.51
2,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Luguentz Dort,4.9,11.9,41.0,1.8,5.3,34.6,2.6,3.5,76.3,3.1,6.6,46.1,1.195,0.49
3,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Jalen Williams,4.7,9.2,50.9,0.8,2.6,28.7,1.5,2.0,74.6,3.9,6.6,59.7,1.259,0.55
4,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Aleksej Pokusevski,3.5,7.8,44.0,1.2,3.3,37.6,0.7,1.1,63.6,2.2,4.6,48.6,1.123,0.52
5,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Tre Mann,3.4,8.8,38.8,1.5,4.8,30.4,0.5,0.7,68.0,2.0,4.0,48.9,0.997,0.47
6,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Jeremiah Robinson-Earl,3.3,6.7,48.9,1.1,2.9,38.2,0.8,1.1,78.6,2.2,3.8,57.1,1.270,0.57
7,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Kenrich Williams,3.1,5.8,54.3,0.9,2.0,43.1,0.4,0.8,50.0,2.3,3.7,60.5,1.304,0.62
8,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Isaiah Joe,2.3,4.8,46.9,1.7,3.8,44.4,0.8,1.1,80.0,0.6,1.1,55.6,1.456,0.64
9,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Aaron Wiggins,2.4,4.8,48.7,0.7,1.7,40.7,0.9,1.1,80.0,1.6,3.1,53.1,1.307,0.56
10,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Mike Muscala,1.9,4.5,42.6,1.2,3.1,37.6,0.8,1.0,80.0,0.8,1.4,53.5,1.287,0.56
11,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Darius Bazley,2.1,4.8,43.7,0.5,1.4,38.2,0.9,1.9,48.9,1.6,3.4,45.9,1.176,0.49
12,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Eugene Omoruyi,2.1,4.3,47.6,0.4,1.5,27.6,0.7,1.1,61.9,1.6,2.8,58.5,1.207,0.52
13,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Ousmane Dieng,1.8,4.2,42.4,0.7,2.4,29.4,0.1,0.3,25.0,1.1,1.8,60.0,1.034,0.51
14,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Lindy Waters III,1.4,3.5,38.8,1.2,3.2,37.8,0.1,0.2,66.7,0.1,0.3,50.0,1.163,0.56
15,OKLAHOMA CITY THUNDER,Shooting Stats - All Splits,Jaylin Williams,1.1,3.2,34.3,0.3,1.1,25.0,0.5,0.9,60.0,0.8,2.1,39.1,0.943,0.39
