,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,ORLANDO MAGIC,Player Stats - All Splits,Paolo Banchero,33,33,34.2,21.4,1.2,5.5,6.7,3.9,0.9,0.5,2.9,2.4,1.3
1,ORLANDO MAGIC,Player Stats - All Splits,Franz Wagner,39,39,33.5,20.1,0.9,3.1,3.9,3.5,0.8,0.2,2.2,2.3,1.6
2,ORLANDO MAGIC,Player Stats - All Splits,Wendell Carter Jr.,21,18,30.8,15.8,2.1,6.5,8.6,2.9,0.4,0.5,2.3,3.0,1.2
3,ORLANDO MAGIC,Player Stats - All Splits,Cole Anthony,22,3,26.4,12.3,0.5,4.0,4.5,4.4,0.8,0.4,1.7,3.0,2.6
4,ORLANDO MAGIC,Player Stats - All Splits,Moritz Wagner,19,14,25.0,12.0,1.9,4.6,6.5,2.1,0.9,0.3,1.6,3.0,1.3
5,ORLANDO MAGIC,Player Stats - All Splits,Bol Bol,37,32,26.1,12.0,1.3,5.8,7.1,0.9,0.5,1.6,1.9,1.5,0.5
6,ORLANDO MAGIC,Player Stats - All Splits,Jalen Suggs,16,13,26.6,11.5,1.0,2.1,3.1,4.8,1.4,0.7,2.9,2.9,1.6
7,ORLANDO MAGIC,Player Stats - All Splits,Markelle Fultz,19,19,27.3,11.5,1.3,3.0,4.3,5.5,1.8,0.3,2.2,2.1,2.5
8,ORLANDO MAGIC,Player Stats - All Splits,Gary Harris,12,6,24.0,9.5,0.4,2.1,2.5,1.6,0.7,0.3,1.1,2.2,1.5
9,ORLANDO MAGIC,Player Stats - All Splits,Terrence Ross,36,9,22.9,8.3,0.3,1.9,2.1,1.4,0.6,0.2,1.0,1.4,1.4
10,ORLANDO MAGIC,Player Stats - All Splits,Mo Bamba,32,5,18.5,7.9,1.3,3.9,5.1,1.1,0.3,1.0,0.6,2.3,1.8
11,ORLANDO MAGIC,Player Stats - All Splits,R.J. Hampton,25,0,14.4,6.0,0.4,1.2,1.6,1.4,0.6,0.2,0.8,0.9,1.6
12,ORLANDO MAGIC,Player Stats - All Splits,Chuma Okeke,18,7,21.8,5.4,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,2.9
13,ORLANDO MAGIC,Player Stats - All Splits,Admiral Schofield,25,0,13.3,4.9,0.8,1.3,2.1,0.9,0.2,0.1,0.2,2.0,4.4
14,ORLANDO MAGIC,Player Stats - All Splits,Caleb Houstan,28,2,17.4,4.3,0.7,1.7,2.4,0.6,0.2,0.1,0.4,1.5,1.7
15,ORLANDO MAGIC,Player Stats - All Splits,Kevon Harris,26,0,12.6,3.7,0.8,1.2,2.0,0.5,0.5,0.1,0.6,1.3,0.8
