,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,ORLANDO MAGIC,Shooting Stats - All Splits,Paolo Banchero,7.1,16.1,43.9,1.3,4.2,31.9,6.0,7.8,76.1,5.7,11.9,48.1,1.331,0.48
1,ORLANDO MAGIC,Shooting Stats - All Splits,Franz Wagner,7.2,14.9,48.5,1.6,4.5,35.1,4.0,4.7,86.3,5.7,10.5,54.2,1.344,0.54
2,ORLANDO MAGIC,Shooting Stats - All Splits,Wendell Carter Jr.,5.7,10.8,52.7,1.1,3.4,33.3,3.3,4.2,78.7,4.5,7.3,61.7,1.469,0.58
3,ORLANDO MAGIC,Shooting Stats - All Splits,Cole Anthony,4.3,10.0,42.9,1.2,3.8,32.1,2.5,2.8,90.3,3.0,6.1,49.6,1.237,0.49
4,ORLANDO MAGIC,Shooting Stats - All Splits,Moritz Wagner,4.1,8.3,48.7,1.0,3.3,30.2,2.9,3.4,85.9,3.1,5.0,61.1,1.443,0.55
5,ORLANDO MAGIC,Shooting Stats - All Splits,Bol Bol,4.9,8.4,58.8,0.7,1.8,38.8,1.4,1.9,73.9,4.2,6.6,64.3,1.424,0.63
6,ORLANDO MAGIC,Shooting Stats - All Splits,Jalen Suggs,4.3,10.2,41.7,1.3,4.5,27.8,1.8,2.6,66.7,3.0,5.7,52.7,1.129,0.48
7,ORLANDO MAGIC,Shooting Stats - All Splits,Markelle Fultz,4.8,10.5,46.0,0.5,1.5,32.1,1.3,2.0,65.8,4.4,9.1,48.3,1.090,0.48
8,ORLANDO MAGIC,Shooting Stats - All Splits,Gary Harris,3.3,7.0,47.6,1.4,3.4,41.5,1.4,1.6,89.5,1.9,3.6,53.5,1.357,0.58
9,ORLANDO MAGIC,Shooting Stats - All Splits,Terrence Ross,3.2,7.5,43.1,1.5,3.9,37.3,0.4,0.6,75.0,1.8,3.5,49.6,1.115,0.53
10,ORLANDO MAGIC,Shooting Stats - All Splits,Mo Bamba,2.9,5.8,50.3,1.1,2.8,38.2,1.0,1.5,68.1,1.8,3.0,61.5,1.362,0.59
11,ORLANDO MAGIC,Shooting Stats - All Splits,R.J. Hampton,2.0,4.6,43.9,0.7,2.1,34.0,1.2,1.5,83.8,1.3,2.4,52.5,1.307,0.52
12,ORLANDO MAGIC,Shooting Stats - All Splits,Chuma Okeke,1.8,4.8,36.8,1.0,3.3,30.0,0.9,1.2,76.2,0.8,1.5,51.9,1.126,0.47
13,ORLANDO MAGIC,Shooting Stats - All Splits,Admiral Schofield,1.8,3.7,47.8,0.7,2.2,33.3,0.7,0.8,89.5,1.0,1.5,68.4,1.337,0.58
14,ORLANDO MAGIC,Shooting Stats - All Splits,Caleb Houstan,1.4,3.6,39.2,1.0,2.7,37.3,0.4,0.5,84.6,0.4,1.0,44.4,1.167,0.53
15,ORLANDO MAGIC,Shooting Stats - All Splits,Kevon Harris,1.2,2.9,42.1,0.4,1.1,39.3,0.8,1.0,81.5,0.8,1.8,43.8,1.276,0.49
