,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,PHILADELPHIA 76ERS,Player Stats - All Splits,Joel Embiid,28,28,35.5,33.5,1.8,8.0,9.8,4.6,1.2,1.7,3.9,3.4,1.2
1,PHILADELPHIA 76ERS,Player Stats - All Splits,James Harden,24,24,37.7,22.0,0.6,5.6,6.3,10.8,1.4,0.6,3.5,2.1,3.1
2,PHILADELPHIA 76ERS,Player Stats - All Splits,Tyrese Maxey,20,18,34.9,21.5,0.4,2.8,3.1,4.2,0.9,0.2,1.8,2.2,2.3
3,PHILADELPHIA 76ERS,Player Stats - All Splits,Tobias Harris,36,36,34.4,16.5,1.1,5.3,6.4,2.6,1.1,0.6,1.3,2.1,2.0
4,PHILADELPHIA 76ERS,Player Stats - All Splits,De'Anthony Melton,36,29,30.1,11.8,1.1,3.6,4.7,3.0,1.9,0.5,1.6,2.4,1.9
5,PHILADELPHIA 76ERS,Player Stats - All Splits,Shake Milton,35,9,24.0,10.4,0.5,2.5,3.0,3.4,0.4,0.2,1.5,1.7,2.2
6,PHILADELPHIA 76ERS,Player Stats - All Splits,Georges Niang,37,0,20.3,9.7,0.2,2.1,2.4,1.1,0.5,0.2,0.7,2.1,1.5
7,PHILADELPHIA 76ERS,Player Stats - All Splits,Montrezl Harrell,35,6,12.6,6.1,1.2,1.7,2.9,0.7,0.3,0.6,0.6,1.4,1.0
8,PHILADELPHIA 76ERS,Player Stats - All Splits,Danuel House Jr.,30,2,17.0,4.9,0.2,1.8,2.0,0.8,0.2,0.2,0.5,1.4,1.6
9,PHILADELPHIA 76ERS,Player Stats - All Splits,Furkan Korkmaz,21,0,11.3,4.0,0.2,1.1,1.3,0.9,0.3,0.1,0.7,0.4,1.2
10,PHILADELPHIA 76ERS,Player Stats - All Splits,P.J. Tucker,37,37,27.5,3.3,1.3,3.0,4.3,0.9,0.6,0.3,0.8,2.6,1.0
11,PHILADELPHIA 76ERS,Player Stats - All Splits,Paul Reed,32,0,9.9,3.1,1.3,2.0,3.3,0.4,0.8,0.6,0.6,2.0,0.7
12,PHILADELPHIA 76ERS,Player Stats - All Splits,Saben Lee,2,0,5.0,3.0,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,0.7
13,PHILADELPHIA 76ERS,Player Stats - All Splits,Matisse Thybulle,35,6,12.0,2.5,0.3,0.9,1.2,0.5,0.8,0.3,0.1,1.2,3.2
14,PHILADELPHIA 76ERS,Player Stats - All Splits,Jaden Springer,5,0,3.0,1.4,0.4,0.6,1.0,0.0,0.0,0.4,0.2,0.8,0.0
15,PHILADELPHIA 76ERS,Player Stats - All Splits,Julian Champagnie,2,0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
16,PHILADELPHIA 76ERS,Player Stats - All Splits,Michael Foster Jr.,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
