,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Joel Embiid,11.3,21.1,53.2,1.1,3.1,34.1,9.9,11.6,85.3,10.2,18.0,56.5,1.584,0.56
1,PHILADELPHIA 76ERS,Shooting Stats - All Splits,James Harden,6.7,15.6,42.8,2.8,7.4,37.1,5.9,6.8,86.6,3.9,8.2,48.0,1.412,0.52
2,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Tyrese Maxey,7.9,17.3,45.4,2.7,6.5,40.8,3.2,4.2,75.9,5.2,10.8,48.1,1.243,0.53
3,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Tobias Harris,6.5,13.2,49.2,1.9,5.1,37.8,1.6,1.8,87.9,4.5,8.0,56.4,1.253,0.57
4,PHILADELPHIA 76ERS,Shooting Stats - All Splits,De'Anthony Melton,4.3,10.2,42.5,2.5,6.1,40.3,0.6,0.9,71.0,1.9,4.1,45.9,1.153,0.55
5,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Shake Milton,4.0,7.9,50.9,0.9,2.3,37.0,1.5,1.8,82.5,3.2,5.6,56.6,1.314,0.56
6,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Georges Niang,3.3,7.4,45.1,2.4,5.7,42.0,0.6,0.7,92.0,0.9,1.6,55.7,1.311,0.61
7,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Montrezl Harrell,2.3,4.0,58.3,0.0,0.1,0.0,1.4,2.0,72.5,2.3,3.9,59.1,1.525,0.58
8,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Danuel House Jr.,1.7,3.6,47.7,0.7,2.1,33.9,0.8,1.1,73.5,1.0,1.5,66.7,1.383,0.57
9,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Furkan Korkmaz,1.3,3.3,40.0,0.5,1.6,32.4,0.9,1.3,66.7,0.8,1.7,47.2,1.214,0.48
10,PHILADELPHIA 76ERS,Shooting Stats - All Splits,P.J. Tucker,1.2,2.9,41.3,0.6,1.6,37.7,0.3,0.3,83.3,0.6,1.3,45.8,1.128,0.52
11,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Paul Reed,1.3,2.4,56.6,0.0,0.1,0.0,0.4,0.5,75.0,1.3,2.3,58.9,1.289,0.57
12,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Saben Lee,1.5,2.0,75.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,1.5,100.0,1.500,0.75
13,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Matisse Thybulle,1.0,2.4,41.0,0.5,1.4,32.7,0.1,0.2,50.0,0.5,1.0,52.9,1.048,0.51
14,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Jaden Springer,0.6,1.4,42.9,0.0,0.0,0.0,0.2,0.4,50.0,0.6,1.4,42.9,1.000,0.43
15,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Julian Champagnie,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.000,0.00
16,PHILADELPHIA 76ERS,Shooting Stats - All Splits,Michael Foster Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
