,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,PHOENIX SUNS,Player Stats - All Splits,Devin Booker,29,29,34.6,27.1,0.8,3.8,4.6,5.6,0.9,0.4,2.4,2.7,2.3
1,PHOENIX SUNS,Player Stats - All Splits,Deandre Ayton,37,37,29.5,17.5,2.8,7.0,9.8,2.0,0.5,0.7,2.1,2.8,1.0
2,PHOENIX SUNS,Player Stats - All Splits,Mikal Bridges,41,41,36.3,15.4,1.0,3.5,4.5,3.2,1.1,0.9,1.3,2.2,2.5
3,PHOENIX SUNS,Player Stats - All Splits,Chris Paul,26,26,31.1,13.1,0.5,3.7,4.2,8.3,1.5,0.3,2.0,2.4,4.2
4,PHOENIX SUNS,Player Stats - All Splits,Cameron Johnson,8,8,25.3,13.0,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,7.0
5,PHOENIX SUNS,Player Stats - All Splits,Cameron Payne,28,14,24.0,12.1,0.3,2.0,2.3,5.3,0.9,0.2,2.0,2.0,2.7
6,PHOENIX SUNS,Player Stats - All Splits,Landry Shamet,29,6,21.3,9.6,0.3,1.3,1.6,2.1,0.6,0.2,1.0,1.5,2.2
7,PHOENIX SUNS,Player Stats - All Splits,Torrey Craig,38,29,25.1,8.3,2.0,3.5,5.5,1.5,0.7,0.6,0.8,2.4,2.0
8,PHOENIX SUNS,Player Stats - All Splits,Damion Lee,41,2,21.8,8.2,0.6,2.8,3.4,1.2,0.4,0.1,1.0,1.6,1.3
9,PHOENIX SUNS,Player Stats - All Splits,Duane Washington Jr.,24,0,11.8,7.8,0.0,1.1,1.1,1.8,0.2,0.0,1.0,0.5,1.8
10,PHOENIX SUNS,Player Stats - All Splits,Jock Landale,34,2,14.3,6.6,1.6,2.4,3.9,0.8,0.2,0.6,0.8,1.7,1.0
11,PHOENIX SUNS,Player Stats - All Splits,Josh Okogie,35,1,11.4,4.3,1.3,1.5,2.8,1.0,0.6,0.4,0.7,1.3,1.6
12,PHOENIX SUNS,Player Stats - All Splits,Dario Saric,22,5,11.6,3.8,0.7,2.0,2.8,1.0,0.2,0.1,0.7,1.4,1.5
13,PHOENIX SUNS,Player Stats - All Splits,Ish Wainright,24,1,14.2,3.6,1.1,1.0,2.1,0.9,0.7,0.3,0.5,2.0,1.9
14,PHOENIX SUNS,Player Stats - All Splits,Bismack Biyombo,31,4,13.6,3.5,1.1,2.6,3.7,0.8,0.3,1.3,1.0,2.0,0.9
