,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,PHOENIX SUNS,Shooting Stats - All Splits,Devin Booker,9.8,20.4,47.7,2.3,6.2,37.0,5.3,6.2,85.0,7.4,14.2,52.4,1.325,0.53
1,PHOENIX SUNS,Shooting Stats - All Splits,Deandre Ayton,7.6,12.9,59.2,0.2,0.6,33.3,2.0,2.7,73.3,7.5,12.4,60.4,1.354,0.60
2,PHOENIX SUNS,Shooting Stats - All Splits,Mikal Bridges,5.7,12.5,45.4,1.8,4.5,39.2,2.3,2.6,89.6,3.9,7.9,48.9,1.237,0.53
3,PHOENIX SUNS,Shooting Stats - All Splits,Chris Paul,4.4,10.3,42.5,1.7,4.2,39.8,2.7,3.3,80.2,2.7,6.2,44.4,1.269,0.51
4,PHOENIX SUNS,Shooting Stats - All Splits,Cameron Johnson,4.6,10.4,44.6,2.8,6.4,43.1,1.0,1.4,72.7,1.9,4.0,46.9,1.253,0.58
5,PHOENIX SUNS,Shooting Stats - All Splits,Cameron Payne,4.5,11.0,41.2,1.7,4.5,37.8,1.4,1.8,77.6,2.8,6.5,43.6,1.104,0.49
6,PHOENIX SUNS,Shooting Stats - All Splits,Landry Shamet,3.1,8.0,38.6,2.1,5.4,38.5,1.3,1.4,90.2,1.0,2.7,39.0,1.189,0.52
7,PHOENIX SUNS,Shooting Stats - All Splits,Torrey Craig,3.2,6.8,47.5,1.4,3.5,39.4,0.6,0.7,80.8,1.8,3.3,56.0,1.233,0.58
8,PHOENIX SUNS,Shooting Stats - All Splits,Damion Lee,2.7,5.9,46.5,1.8,3.7,48.0,1.0,1.1,93.3,1.0,2.2,44.0,1.402,0.61
9,PHOENIX SUNS,Shooting Stats - All Splits,Duane Washington Jr.,3.1,7.9,39.5,1.2,3.5,34.9,0.4,0.6,60.0,1.9,4.5,43.0,0.989,0.47
10,PHOENIX SUNS,Shooting Stats - All Splits,Jock Landale,2.4,4.7,51.6,0.3,1.4,23.4,1.5,1.8,82.3,2.1,3.3,63.4,1.421,0.55
11,PHOENIX SUNS,Shooting Stats - All Splits,Josh Okogie,1.4,3.4,40.8,0.3,1.5,23.5,1.1,1.6,70.9,1.1,2.0,53.6,1.242,0.46
12,PHOENIX SUNS,Shooting Stats - All Splits,Dario Saric,1.3,3.7,35.8,0.6,1.7,35.1,0.5,0.6,85.7,0.7,2.0,36.4,1.025,0.44
13,PHOENIX SUNS,Shooting Stats - All Splits,Ish Wainright,1.3,3.3,38.0,0.9,2.4,38.6,0.2,0.3,57.1,0.3,0.9,36.4,1.089,0.52
14,PHOENIX SUNS,Shooting Stats - All Splits,Bismack Biyombo,1.5,2.7,57.8,0.0,0.0,0.0,0.4,1.3,32.5,1.5,2.7,57.8,1.313,0.58
