,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Damian Lillard,27,27,35.6,27.3,0.6,3.3,4.0,7.2,0.9,0.4,3.4,2.0,2.1
1,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Anfernee Simons,37,37,36.0,22.4,0.3,2.6,2.9,3.9,0.8,0.2,2.3,2.5,1.7
2,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Jerami Grant,37,37,35.9,22.1,1.1,3.3,4.4,2.6,0.8,0.7,1.8,2.2,1.4
3,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Jusuf Nurkic,34,34,28.7,14.2,2.5,7.6,10.1,3.0,0.8,1.0,2.5,3.6,1.2
4,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Josh Hart,37,37,34.7,9.9,1.9,6.4,8.3,4.1,1.2,0.2,1.8,2.7,2.4
5,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Shaedon Sharpe,38,5,19.5,7.6,0.8,1.7,2.5,0.5,0.4,0.2,0.7,1.6,0.7
6,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Gary Payton II,1,0,13.0,7.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0
7,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Justise Winslow,29,11,26.8,6.8,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,2.3
8,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Drew Eubanks,37,5,18.3,5.7,1.5,2.9,4.4,0.9,0.5,1.0,0.8,2.0,1.1
9,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Nassir Little,21,0,15.3,5.5,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,1.3
10,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Keon Johnson,19,0,12.8,5.3,0.4,1.4,1.8,1.1,0.6,0.2,1.4,1.3,0.8
11,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Trendon Watford,28,2,16.6,5.1,0.7,3.1,3.8,1.6,0.5,0.1,1.0,1.9,1.7
12,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Jabari Walker,23,0,9.0,2.3,1.0,1.5,2.6,0.6,0.1,0.2,0.4,1.1,1.3
13,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,Greg Brown III,11,0,6.5,2.2,0.2,0.9,1.1,0.0,0.4,0.5,0.5,0.8,0.0
14,PORTLAND TRAIL BLAZERS,Player Stats - All Splits,John Butler Jr.,4,0,3.8,0.5,0.3,0.3,0.5,0.3,0.0,0.3,0.0,0.0,INF
