,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Damian Lillard,8.4,19.3,43.4,3.9,10.7,36.6,6.7,7.6,87.8,4.4,8.6,51.9,1.417,0.54
1,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Anfernee Simons,7.9,17.9,44.0,3.8,10.0,37.8,2.8,3.1,89.6,4.1,7.9,51.7,1.245,0.55
2,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Jerami Grant,7.4,15.2,48.8,2.6,6.0,43.4,4.7,5.9,79.7,4.8,9.2,52.4,1.456,0.57
3,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Jusuf Nurkic,5.3,10.1,52.9,0.8,1.9,40.9,2.8,4.2,66.9,4.5,8.1,55.8,1.415,0.57
4,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Josh Hart,3.7,7.2,51.3,0.7,1.9,36.1,1.8,2.4,75.3,3.0,5.2,57.0,1.377,0.56
5,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Shaedon Sharpe,3.1,6.6,47.2,0.9,2.4,35.5,0.6,0.9,61.8,2.2,4.1,54.1,1.160,0.54
6,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Gary Payton II,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,66.7,1.750,0.88
7,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Justise Winslow,2.8,6.8,40.9,0.5,1.6,31.1,0.7,1.0,71.4,2.3,5.3,43.8,0.990,0.44
8,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Drew Eubanks,2.4,3.3,73.6,0.1,0.1,66.7,0.9,1.3,65.3,2.4,3.2,73.7,1.752,0.74
9,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Nassir Little,2.0,4.3,47.3,0.8,2.0,37.2,0.7,1.0,66.7,1.3,2.3,56.3,1.275,0.56
10,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Keon Johnson,2.1,5.6,36.8,0.9,2.7,33.3,0.3,0.7,38.5,1.2,2.9,40.0,0.943,0.45
11,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Trendon Watford,1.8,3.3,54.8,0.3,0.8,34.8,1.2,1.6,77.3,1.5,2.5,61.4,1.548,0.59
12,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Jabari Walker,0.9,2.1,42.9,0.1,0.5,25.0,0.4,0.6,64.3,0.8,1.6,48.6,1.102,0.46
13,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,Greg Brown III,0.8,1.9,42.9,0.1,0.5,16.7,0.5,1.1,41.7,0.7,1.4,53.3,1.143,0.45
14,PORTLAND TRAIL BLAZERS,Shooting Stats - All Splits,John Butler Jr.,0.3,0.8,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.667,0.33
