,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,SACRAMENTO KINGS,Player Stats - All Splits,De'Aaron Fox,35,35,33.2,24.2,0.4,4.2,4.6,5.9,0.9,0.4,2.7,2.6,2.2
1,SACRAMENTO KINGS,Player Stats - All Splits,Domantas Sabonis,37,37,34.1,18.9,3.0,9.5,12.5,6.7,0.8,0.5,2.6,3.8,2.6
2,SACRAMENTO KINGS,Player Stats - All Splits,Kevin Huerter,37,37,31.6,15.9,0.6,2.7,3.3,2.9,1.1,0.3,1.6,2.7,1.8
3,SACRAMENTO KINGS,Player Stats - All Splits,Harrison Barnes,38,38,31.8,14.1,1.0,4.2,5.2,1.7,0.9,0.1,1.3,1.4,1.4
4,SACRAMENTO KINGS,Player Stats - All Splits,Malik Monk,37,0,23.0,14.1,0.4,1.9,2.3,3.9,0.6,0.1,2.0,1.6,1.9
5,SACRAMENTO KINGS,Player Stats - All Splits,Keegan Murray,36,34,28.8,11.6,0.9,2.8,3.8,0.8,0.9,0.6,1.0,2.1,0.8
6,SACRAMENTO KINGS,Player Stats - All Splits,Terence Davis,30,2,12.6,6.3,0.4,1.9,2.3,1.2,0.7,0.3,0.8,1.9,1.5
7,SACRAMENTO KINGS,Player Stats - All Splits,Davion Mitchell,37,3,19.5,6.1,0.2,1.3,1.5,2.4,0.5,0.2,1.0,1.6,2.3
8,SACRAMENTO KINGS,Player Stats - All Splits,Trey Lyles,32,0,14.4,6.0,1.1,2.4,3.5,0.8,0.3,0.4,0.9,1.2,0.9
9,SACRAMENTO KINGS,Player Stats - All Splits,Chimezie Metu,26,0,10.7,4.9,0.6,2.4,3.0,0.6,0.3,0.2,0.7,1.1,0.9
10,SACRAMENTO KINGS,Player Stats - All Splits,Neemias Queta,4,0,6.3,3.0,1.0,1.3,2.3,0.3,0.0,0.3,0.3,1.8,1.0
11,SACRAMENTO KINGS,Player Stats - All Splits,Richaun Holmes,24,0,9.5,3.0,0.8,1.4,2.2,0.1,0.1,0.3,0.4,1.5,0.3
12,SACRAMENTO KINGS,Player Stats - All Splits,KZ Okpala,26,3,7.8,1.4,0.2,0.9,1.1,0.5,0.2,0.3,0.2,1.3,2.0
13,SACRAMENTO KINGS,Player Stats - All Splits,Alex Len,10,1,4.0,1.3,0.3,1.0,1.3,0.3,0.0,0.0,0.3,0.7,1.0
14,SACRAMENTO KINGS,Player Stats - All Splits,Matthew Dellavedova,16,0,6.3,1.1,0.1,0.3,0.3,1.3,0.4,0.0,0.4,0.8,3.3
15,SACRAMENTO KINGS,Player Stats - All Splits,Chima Moneke,2,0,4.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5
16,SACRAMENTO KINGS,Player Stats - All Splits,Keon Ellis,3,0,3.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,INF
