,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,SACRAMENTO KINGS,Shooting Stats - All Splits,De'Aaron Fox,8.9,17.7,50.5,1.6,4.9,33.5,4.7,5.9,80.1,7.3,12.8,56.9,1.369,0.55
1,SACRAMENTO KINGS,Shooting Stats - All Splits,Domantas Sabonis,7.0,11.3,62.1,0.5,1.2,40.0,4.4,5.9,74.8,6.5,10.1,64.8,1.676,0.64
2,SACRAMENTO KINGS,Shooting Stats - All Splits,Kevin Huerter,5.7,11.7,48.4,2.9,7.1,41.8,1.6,2.2,72.8,2.7,4.7,58.4,1.355,0.61
3,SACRAMENTO KINGS,Shooting Stats - All Splits,Harrison Barnes,4.3,9.4,46.3,1.3,4.2,31.6,4.1,5.0,81.7,3.0,5.2,58.1,1.506,0.53
4,SACRAMENTO KINGS,Shooting Stats - All Splits,Malik Monk,4.9,11.2,44.1,1.8,5.6,32.4,2.4,2.7,90.9,3.1,5.6,55.8,1.262,0.52
5,SACRAMENTO KINGS,Shooting Stats - All Splits,Keegan Murray,4.2,9.8,43.2,2.3,5.7,39.8,0.9,1.2,76.7,1.9,4.1,47.9,1.190,0.55
6,SACRAMENTO KINGS,Shooting Stats - All Splits,Terence Davis,2.3,5.4,42.6,1.3,3.6,35.2,0.5,0.6,82.4,1.0,1.8,57.4,1.173,0.54
7,SACRAMENTO KINGS,Shooting Stats - All Splits,Davion Mitchell,2.5,5.5,45.8,0.8,2.4,32.2,0.3,0.5,70.6,1.7,3.1,56.6,1.118,0.53
8,SACRAMENTO KINGS,Shooting Stats - All Splits,Trey Lyles,2.1,4.9,42.3,1.0,3.1,33.7,0.8,1.1,74.3,1.0,1.8,56.9,1.224,0.53
9,SACRAMENTO KINGS,Shooting Stats - All Splits,Chimezie Metu,2.0,3.5,58.9,0.2,0.8,23.8,0.6,0.8,80.0,1.8,2.7,69.6,1.411,0.62
10,SACRAMENTO KINGS,Shooting Stats - All Splits,Neemias Queta,1.5,2.0,75.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,2.0,75.0,1.500,0.75
11,SACRAMENTO KINGS,Shooting Stats - All Splits,Richaun Holmes,1.3,2.0,63.3,0.1,0.1,66.7,0.3,0.4,77.8,1.2,1.9,63.0,1.449,0.65
12,SACRAMENTO KINGS,Shooting Stats - All Splits,KZ Okpala,0.5,1.1,46.4,0.2,0.5,38.5,0.2,0.2,100.0,0.3,0.6,53.3,1.321,0.55
13,SACRAMENTO KINGS,Shooting Stats - All Splits,Alex Len,0.5,1.0,50.0,0.0,0.1,0.0,0.3,0.4,75.0,0.5,0.9,55.6,1.300,0.50
14,SACRAMENTO KINGS,Shooting Stats - All Splits,Matthew Dellavedova,0.4,1.4,30.4,0.2,0.6,30.0,0.1,0.2,33.3,0.3,0.8,30.8,0.783,0.37
15,SACRAMENTO KINGS,Shooting Stats - All Splits,Chima Moneke,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,50.0,1.000,0.50
16,SACRAMENTO KINGS,Shooting Stats - All Splits,Keon Ellis,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00
