,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,SAN ANTONIO SPURS,Player Stats - All Splits,Keldon Johnson,35,35,32.0,21.2,0.8,4.0,4.8,2.7,0.7,0.2,2.2,2.0,1.2
1,SAN ANTONIO SPURS,Player Stats - All Splits,Devin Vassell,29,24,31.3,19.4,0.2,3.8,4.0,3.6,1.2,0.4,1.6,1.4,2.3
2,SAN ANTONIO SPURS,Player Stats - All Splits,Tre Jones,39,39,29.9,13.2,0.8,2.9,3.7,6.4,1.4,0.2,1.9,1.6,3.3
3,SAN ANTONIO SPURS,Player Stats - All Splits,Jakob Poeltl,31,31,26.4,11.9,3.5,6.0,9.5,3.0,0.9,1.1,2.1,2.4,1.4
4,SAN ANTONIO SPURS,Player Stats - All Splits,Josh Richardson,30,3,23.0,10.8,0.6,1.9,2.5,3.1,0.8,0.1,1.6,1.6,1.9
5,SAN ANTONIO SPURS,Player Stats - All Splits,Doug McDermott,35,0,20.2,10.3,0.3,1.9,2.3,1.5,0.1,0.2,0.9,1.7,1.5
6,SAN ANTONIO SPURS,Player Stats - All Splits,Zach Collins,29,7,20.9,9.5,1.9,3.8,5.7,2.5,0.3,0.8,2.0,3.4,1.2
7,SAN ANTONIO SPURS,Player Stats - All Splits,Jeremy Sochan,34,31,25.3,8.7,1.5,3.2,4.7,2.4,0.8,0.5,1.7,2.7,1.4
8,SAN ANTONIO SPURS,Player Stats - All Splits,Blake Wesley,2,0,11.5,8.0,0.5,0.5,1.0,2.0,0.0,0.0,1.0,1.5,2.0
9,SAN ANTONIO SPURS,Player Stats - All Splits,Keita Bates-Diop,29,11,17.9,7.4,1.2,1.7,2.9,0.8,0.7,0.2,0.8,0.8,0.9
10,SAN ANTONIO SPURS,Player Stats - All Splits,Romeo Langford,25,12,19.9,7.2,1.5,1.2,2.8,1.0,0.6,0.3,0.8,1.8,1.3
11,SAN ANTONIO SPURS,Player Stats - All Splits,Malaki Branham,26,4,19.2,7.0,0.2,1.5,1.7,1.7,0.5,0.1,1.0,1.2,1.7
12,SAN ANTONIO SPURS,Player Stats - All Splits,Joshua Primo,4,0,23.3,7.0,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2.0,1.6
13,SAN ANTONIO SPURS,Player Stats - All Splits,Stanley Johnson,13,0,13.5,6.5,0.4,2.2,2.6,1.9,0.4,0.3,0.9,1.7,2.1
14,SAN ANTONIO SPURS,Player Stats - All Splits,Charles Bassey,24,1,13.6,4.7,1.8,3.4,5.2,1.2,0.3,0.9,1.2,2.1,1.0
15,SAN ANTONIO SPURS,Player Stats - All Splits,Gorgui Dieng,13,1,11.6,4.1,1.1,2.2,3.2,2.0,0.1,0.5,0.9,1.8,2.2
16,SAN ANTONIO SPURS,Player Stats - All Splits,Isaiah Roby,31,1,10.7,3.8,0.4,2.0,2.4,1.0,0.4,0.2,0.6,1.2,1.7
17,SAN ANTONIO SPURS,Player Stats - All Splits,Jordan Hall,9,0,9.2,3.1,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,1.6
18,SAN ANTONIO SPURS,Player Stats - All Splits,Dominick Barlow,4,0,6.5,2.5,0.5,0.3,0.8,0.8,0.3,0.0,0.0,0.8,INF
19,SAN ANTONIO SPURS,Player Stats - All Splits,Alize Johnson,4,0,7.5,1.8,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,0.3
