,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,SAN ANTONIO SPURS,Shooting Stats - All Splits,Keldon Johnson,7.5,17.5,42.6,2.5,7.1,34.8,3.8,5.0,75.6,5.0,10.3,48.1,1.212,0.50
1,SAN ANTONIO SPURS,Shooting Stats - All Splits,Devin Vassell,7.1,16.0,44.5,2.8,7.0,40.4,2.4,3.0,79.3,4.3,9.0,47.7,1.216,0.53
2,SAN ANTONIO SPURS,Shooting Stats - All Splits,Tre Jones,5.1,11.5,44.5,0.7,2.6,27.5,2.3,2.6,88.1,4.4,8.8,49.6,1.152,0.48
3,SAN ANTONIO SPURS,Shooting Stats - All Splits,Jakob Poeltl,5.1,8.0,64.4,0.0,0.0,0.0,1.6,2.8,57.5,5.1,8.0,64.4,1.490,0.64
4,SAN ANTONIO SPURS,Shooting Stats - All Splits,Josh Richardson,3.9,9.1,42.9,1.7,4.8,35.7,1.3,1.5,87.0,2.2,4.3,50.8,1.190,0.52
5,SAN ANTONIO SPURS,Shooting Stats - All Splits,Doug McDermott,3.8,8.1,47.5,1.9,4.6,41.6,0.7,1.0,72.2,1.9,3.5,55.4,1.280,0.59
6,SAN ANTONIO SPURS,Shooting Stats - All Splits,Zach Collins,3.7,6.5,56.1,0.6,1.6,37.0,1.6,2.3,71.2,3.1,4.9,62.2,1.460,0.61
7,SAN ANTONIO SPURS,Shooting Stats - All Splits,Jeremy Sochan,3.7,7.9,46.3,0.4,2.0,20.3,1.0,1.6,61.1,3.3,5.9,55.2,1.100,0.49
8,SAN ANTONIO SPURS,Shooting Stats - All Splits,Blake Wesley,3.0,4.5,66.7,1.0,1.5,66.7,1.0,2.0,50.0,2.0,3.0,66.7,1.778,0.78
9,SAN ANTONIO SPURS,Shooting Stats - All Splits,Keita Bates-Diop,2.9,5.6,51.5,0.4,1.3,34.2,1.2,1.4,81.0,2.4,4.3,56.8,1.319,0.56
10,SAN ANTONIO SPURS,Shooting Stats - All Splits,Romeo Langford,3.0,6.2,49.4,0.4,1.3,27.3,0.8,1.1,70.4,2.7,4.8,55.4,1.169,0.52
11,SAN ANTONIO SPURS,Shooting Stats - All Splits,Malaki Branham,2.7,6.4,42.2,0.9,3.1,29.6,0.7,0.9,78.3,1.8,3.3,54.1,1.096,0.49
12,SAN ANTONIO SPURS,Shooting Stats - All Splits,Joshua Primo,2.3,6.5,34.6,0.8,3.0,25.0,1.8,2.3,77.8,1.5,3.5,42.9,1.077,0.40
13,SAN ANTONIO SPURS,Shooting Stats - All Splits,Stanley Johnson,2.4,4.0,59.6,0.8,1.7,50.0,0.8,1.2,68.8,1.5,2.3,66.7,1.615,0.70
14,SAN ANTONIO SPURS,Shooting Stats - All Splits,Charles Bassey,2.0,2.9,67.1,0.1,0.3,33.3,0.7,1.0,66.7,1.9,2.7,70.3,1.600,0.69
15,SAN ANTONIO SPURS,Shooting Stats - All Splits,Gorgui Dieng,1.5,3.7,41.7,0.8,2.5,30.3,0.2,0.3,75.0,0.8,1.2,66.7,1.104,0.52
16,SAN ANTONIO SPURS,Shooting Stats - All Splits,Isaiah Roby,1.5,3.4,43.8,0.5,1.5,31.1,0.4,0.9,44.8,1.0,1.9,53.3,1.133,0.50
17,SAN ANTONIO SPURS,Shooting Stats - All Splits,Jordan Hall,1.0,3.1,32.1,0.3,1.7,20.0,0.8,1.0,77.8,0.7,1.4,46.2,1.000,0.38
18,SAN ANTONIO SPURS,Shooting Stats - All Splits,Dominick Barlow,0.8,1.8,42.9,0.0,0.8,0.0,1.0,1.0,100.0,0.8,1.0,75.0,1.429,0.43
19,SAN ANTONIO SPURS,Shooting Stats - All Splits,Alize Johnson,0.8,1.5,50.0,0.0,0.5,0.0,0.3,0.5,50.0,0.8,1.0,75.0,1.167,0.50
