,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,TORONTO RAPTORS,Player Stats - All Splits,Pascal Siakam,30,30,37.3,25.7,1.9,6.4,8.3,6.5,0.9,0.5,2.6,3.4,2.5
1,TORONTO RAPTORS,Player Stats - All Splits,Fred VanVleet,32,32,37.1,18.6,0.5,3.7,4.1,6.2,1.6,0.6,1.7,2.8,3.6
2,TORONTO RAPTORS,Player Stats - All Splits,Gary Trent Jr.,33,23,32.4,18.4,0.5,1.8,2.3,1.5,1.6,0.2,1.1,1.7,1.4
3,TORONTO RAPTORS,Player Stats - All Splits,O.G. Anunoby,36,36,37.1,18.2,1.6,4.4,6.0,2.1,2.3,0.8,2.3,3.1,0.9
4,TORONTO RAPTORS,Player Stats - All Splits,Scottie Barnes,37,36,34.0,14.9,2.1,4.8,6.9,4.6,1.0,0.8,2.2,2.0,2.2
5,TORONTO RAPTORS,Player Stats - All Splits,Chris Boucher,35,0,21.1,9.6,2.0,3.6,5.6,0.4,0.7,0.7,0.6,2.2,0.8
6,TORONTO RAPTORS,Player Stats - All Splits,Precious Achiuwa,16,0,17.8,7.3,1.6,4.0,5.6,1.2,0.2,0.7,1.0,1.3,1.2
7,TORONTO RAPTORS,Player Stats - All Splits,Malachi Flynn,28,1,15.0,5.8,0.4,1.3,1.6,1.4,0.4,0.1,0.6,1.5,2.5
8,TORONTO RAPTORS,Player Stats - All Splits,Otto Porter Jr.,8,2,18.3,5.5,0.8,1.6,2.4,1.0,1.4,0.0,0.5,0.9,2.0
9,TORONTO RAPTORS,Player Stats - All Splits,Dalano Banton,22,2,10.1,5.2,0.4,1.0,1.5,1.2,0.5,0.5,0.6,1.1,2.0
10,TORONTO RAPTORS,Player Stats - All Splits,Thaddeus Young,35,9,16.5,4.9,1.6,2.0,3.6,1.6,1.1,0.1,0.7,1.8,2.2
11,TORONTO RAPTORS,Player Stats - All Splits,Christian Koloko,37,19,15.9,3.9,1.6,1.7,3.4,0.5,0.3,1.2,0.5,2.7,1.1
12,TORONTO RAPTORS,Player Stats - All Splits,Juancho Hernangomez,27,10,17.3,3.7,0.8,2.7,3.5,0.6,0.5,0.2,0.5,1.1,1.3
13,TORONTO RAPTORS,Player Stats - All Splits,Ron Harper Jr.,2,0,4.0,3.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
14,TORONTO RAPTORS,Player Stats - All Splits,Jeff Dowtin Jr.,12,0,7.2,2.3,0.4,0.7,1.1,0.9,0.2,0.1,0.2,0.4,5.5
15,TORONTO RAPTORS,Player Stats - All Splits,Khem Birch,20,0,8.1,2.2,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,0.9
16,TORONTO RAPTORS,Player Stats - All Splits,Justin Champagnie,3,0,3.7,2.0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,INF
