,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,TORONTO RAPTORS,Shooting Stats - All Splits,Pascal Siakam,8.9,18.9,47.0,1.4,4.0,33.9,6.6,8.4,78.3,7.5,14.8,50.6,1.362,0.51
1,TORONTO RAPTORS,Shooting Stats - All Splits,Fred VanVleet,6.0,15.8,37.7,2.9,8.8,32.9,3.8,4.3,87.8,3.1,7.1,43.8,1.178,0.47
2,TORONTO RAPTORS,Shooting Stats - All Splits,Gary Trent Jr.,6.4,14.4,44.3,2.5,7.0,36.5,3.1,3.8,81.0,3.8,7.4,51.6,1.278,0.53
3,TORONTO RAPTORS,Shooting Stats - All Splits,O.G. Anunoby,6.8,14.6,46.5,1.8,5.2,34.9,2.8,3.4,83.6,5.0,9.4,52.8,1.248,0.53
4,TORONTO RAPTORS,Shooting Stats - All Splits,Scottie Barnes,5.9,13.3,44.8,0.9,3.2,29.1,2.1,2.7,76.0,5.0,10.1,49.7,1.120,0.48
5,TORONTO RAPTORS,Shooting Stats - All Splits,Chris Boucher,3.3,7.3,45.7,0.7,2.7,27.7,2.2,2.9,76.0,2.6,4.6,56.2,1.313,0.51
6,TORONTO RAPTORS,Shooting Stats - All Splits,Precious Achiuwa,2.6,6.8,37.6,0.3,2.1,14.7,1.8,2.2,82.9,2.3,4.7,48.0,1.064,0.40
7,TORONTO RAPTORS,Shooting Stats - All Splits,Malachi Flynn,2.1,5.4,38.4,1.2,3.0,39.8,0.4,0.5,80.0,0.9,2.4,36.8,1.066,0.49
8,TORONTO RAPTORS,Shooting Stats - All Splits,Otto Porter Jr.,1.9,3.8,50.0,0.8,2.1,35.3,1.0,1.0,100.0,1.1,1.6,69.2,1.467,0.60
9,TORONTO RAPTORS,Shooting Stats - All Splits,Dalano Banton,2.0,4.7,42.3,0.6,2.0,30.2,0.6,0.8,82.4,1.4,2.8,50.8,1.106,0.49
10,TORONTO RAPTORS,Shooting Stats - All Splits,Thaddeus Young,2.2,4.0,54.3,0.1,0.7,17.4,0.4,0.5,73.7,2.1,3.3,61.5,1.214,0.56
11,TORONTO RAPTORS,Shooting Stats - All Splits,Christian Koloko,1.5,2.9,50.0,0.0,0.2,12.5,0.9,1.4,66.7,1.4,2.7,53.0,1.324,0.50
12,TORONTO RAPTORS,Shooting Stats - All Splits,Juancho Hernangomez,1.5,3.3,46.1,0.5,1.9,27.5,0.2,0.4,45.5,1.0,1.4,71.1,1.135,0.54
13,TORONTO RAPTORS,Shooting Stats - All Splits,Ron Harper Jr.,1.0,2.0,50.0,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.5,0.0,1.500,0.75
14,TORONTO RAPTORS,Shooting Stats - All Splits,Jeff Dowtin Jr.,1.0,1.9,52.2,0.1,0.3,25.0,0.3,0.3,100.0,0.9,1.6,57.9,1.217,0.54
15,TORONTO RAPTORS,Shooting Stats - All Splits,Khem Birch,1.0,1.6,59.4,0.1,0.1,50.0,0.2,0.3,80.0,0.9,1.5,60.0,1.344,0.61
16,TORONTO RAPTORS,Shooting Stats - All Splits,Justin Champagnie,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.000,1.00
