,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,UTAH JAZZ,Player Stats - All Splits,Lauri Markkanen,40,40,34.0,24.5,1.8,6.5,8.3,1.9,0.6,0.6,1.8,2.1,1.0
1,UTAH JAZZ,Player Stats - All Splits,Jordan Clarkson,42,42,32.5,20.4,1.1,2.7,3.8,4.5,0.5,0.2,2.8,2.0,1.6
2,UTAH JAZZ,Player Stats - All Splits,Collin Sexton,32,10,24.1,14.1,0.8,1.4,2.2,2.9,0.6,0.1,1.7,2.4,1.7
3,UTAH JAZZ,Player Stats - All Splits,Malik Beasley,43,5,26.5,14.0,0.5,3.0,3.5,1.6,0.9,0.2,1.0,1.3,1.7
4,UTAH JAZZ,Player Stats - All Splits,Kelly Olynyk,39,39,28.5,12.2,1.1,3.8,5.0,3.3,1.1,0.6,2.3,4.0,1.4
5,UTAH JAZZ,Player Stats - All Splits,Mike Conley,32,31,29.3,10.0,0.4,1.8,2.2,7.6,1.1,0.2,1.7,2.3,4.5
6,UTAH JAZZ,Player Stats - All Splits,Jarred Vanderbilt,41,39,25.0,8.5,2.5,5.7,8.1,2.9,1.1,0.2,1.5,2.6,1.9
7,UTAH JAZZ,Player Stats - All Splits,Nickeil Alexander-Walker,28,2,15.5,6.9,0.3,1.3,1.6,2.3,0.7,0.4,1.3,1.7,1.8
8,UTAH JAZZ,Player Stats - All Splits,Walker Kessler,40,6,18.7,6.9,2.4,4.2,6.6,0.6,0.3,1.9,0.7,2.3,0.9
9,UTAH JAZZ,Player Stats - All Splits,Talen Horton-Tucker,34,1,15.7,6.8,0.5,1.9,2.4,2.4,0.8,0.3,1.2,1.4,2.0
10,UTAH JAZZ,Player Stats - All Splits,Rudy Gay,29,0,15.6,4.5,0.7,2.4,3.1,0.8,0.4,0.4,0.6,1.3,1.2
11,UTAH JAZZ,Player Stats - All Splits,Simone Fontecchio,21,0,9.0,3.9,0.5,0.7,1.1,0.4,0.1,0.2,0.5,0.9,0.8
12,UTAH JAZZ,Player Stats - All Splits,Ochai Agbaji,20,0,9.7,3.7,0.4,0.7,1.1,0.2,0.1,0.0,0.1,1.0,2.0
13,UTAH JAZZ,Player Stats - All Splits,Udoka Azubuike,15,0,4.2,1.7,0.7,1.1,1.8,0.3,0.1,0.2,0.2,0.3,1.7
14,UTAH JAZZ,Player Stats - All Splits,Micah Potter,3,0,4.7,1.3,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,INF
15,UTAH JAZZ,Player Stats - All Splits,Leandro Bolmaro,10,0,5.8,0.6,0.3,0.1,0.4,0.6,0.3,0.1,0.7,0.7,0.9
