,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,UTAH JAZZ,Shooting Stats - All Splits,Lauri Markkanen,8.5,16.0,53.0,3.0,7.2,41.6,4.6,5.3,87.6,5.5,8.9,62.1,1.533,0.62
1,UTAH JAZZ,Shooting Stats - All Splits,Jordan Clarkson,7.3,16.4,44.8,2.7,7.5,35.6,3.1,3.8,81.6,4.7,8.9,52.5,1.246,0.53
2,UTAH JAZZ,Shooting Stats - All Splits,Collin Sexton,4.8,9.8,48.7,1.0,2.6,38.6,3.6,4.2,84.4,3.8,7.2,52.4,1.439,0.54
3,UTAH JAZZ,Shooting Stats - All Splits,Malik Beasley,5.1,12.5,40.8,3.1,8.6,36.6,0.7,0.9,83.8,2.0,3.9,50.0,1.125,0.53
4,UTAH JAZZ,Shooting Stats - All Splits,Kelly Olynyk,4.0,8.0,50.3,1.5,3.5,41.3,2.6,3.2,83.1,2.6,4.5,57.5,1.519,0.59
5,UTAH JAZZ,Shooting Stats - All Splits,Mike Conley,3.3,8.8,37.9,1.8,4.9,35.7,1.5,2.0,76.6,1.6,3.9,40.8,1.131,0.48
6,UTAH JAZZ,Shooting Stats - All Splits,Jarred Vanderbilt,3.5,6.1,56.3,0.4,1.1,33.3,1.2,1.8,68.9,3.1,5.0,61.4,1.389,0.59
7,UTAH JAZZ,Shooting Stats - All Splits,Nickeil Alexander-Walker,2.5,5.1,49.0,1.1,2.6,41.9,0.8,1.1,71.0,1.4,2.5,56.5,1.350,0.60
8,UTAH JAZZ,Shooting Stats - All Splits,Walker Kessler,3.0,4.1,72.4,0.0,0.0,0.0,1.0,1.8,55.7,3.0,4.1,72.4,1.687,0.72
9,UTAH JAZZ,Shooting Stats - All Splits,Talen Horton-Tucker,2.6,6.5,39.2,0.6,2.7,24.2,1.0,1.4,73.9,1.9,3.9,49.6,1.036,0.44
10,UTAH JAZZ,Shooting Stats - All Splits,Rudy Gay,1.7,4.9,35.5,0.6,2.6,21.6,0.5,0.7,73.7,1.2,2.3,50.7,0.922,0.41
11,UTAH JAZZ,Shooting Stats - All Splits,Simone Fontecchio,1.3,3.4,37.5,0.9,2.4,35.3,0.4,0.7,64.3,0.4,1.0,42.9,1.125,0.50
12,UTAH JAZZ,Shooting Stats - All Splits,Ochai Agbaji,1.4,2.9,48.3,0.6,1.7,36.4,0.3,0.5,50.0,0.8,1.3,64.0,1.259,0.59
13,UTAH JAZZ,Shooting Stats - All Splits,Udoka Azubuike,0.8,0.9,85.7,0.0,0.0,0.0,0.1,0.4,33.3,0.8,0.9,85.7,1.857,0.86
14,UTAH JAZZ,Shooting Stats - All Splits,Micah Potter,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,100.0,2.000,1.00
15,UTAH JAZZ,Shooting Stats - All Splits,Leandro Bolmaro,0.3,1.6,18.8,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.3,23.1,0.375,0.19
