,TEAM_NAME,TABLE_TYPE,NAME,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO
0,WASHINGTON WIZARDS,Player Stats - All Splits,Bradley Beal,24,24,33.6,22.9,0.9,2.6,3.5,5.2,1.0,0.6,2.8,1.8,1.9
1,WASHINGTON WIZARDS,Player Stats - All Splits,Kristaps Porzingis,36,36,32.7,21.9,2.0,7.0,9.0,2.4,1.0,1.6,2.3,3.0,1.1
2,WASHINGTON WIZARDS,Player Stats - All Splits,Kyle Kuzma,39,39,35.3,21.4,0.9,6.5,7.5,3.9,0.5,0.4,2.9,2.4,1.3
3,WASHINGTON WIZARDS,Player Stats - All Splits,Rui Hachimura,24,0,24.2,13.2,0.7,3.8,4.5,1.3,0.4,0.4,1.3,1.3,0.9
4,WASHINGTON WIZARDS,Player Stats - All Splits,Monte Morris,35,35,28.5,9.8,0.4,3.0,3.4,5.3,0.8,0.2,0.9,1.5,5.8
5,WASHINGTON WIZARDS,Player Stats - All Splits,Corey Kispert,32,20,27.9,9.5,0.5,2.2,2.8,1.4,0.6,0.1,0.7,1.4,2.1
6,WASHINGTON WIZARDS,Player Stats - All Splits,Deni Avdija,38,29,25.9,8.3,0.9,4.7,5.6,2.7,0.8,0.6,1.6,3.0,1.7
7,WASHINGTON WIZARDS,Player Stats - All Splits,Will Barton,35,0,20.5,7.7,0.2,2.6,2.8,2.5,0.5,0.3,1.1,1.1,2.3
8,WASHINGTON WIZARDS,Player Stats - All Splits,Daniel Gafford,40,9,16.6,7.6,2.0,2.9,4.9,0.7,0.4,1.2,0.9,2.0,0.7
9,WASHINGTON WIZARDS,Player Stats - All Splits,Jordan Goodwin,31,3,19.1,7.0,1.1,2.6,3.7,2.7,1.0,0.5,1.0,1.7,2.8
10,WASHINGTON WIZARDS,Player Stats - All Splits,Delon Wright,11,0,19.2,5.5,0.6,1.6,2.3,3.4,2.2,0.4,0.6,1.0,5.3
11,WASHINGTON WIZARDS,Player Stats - All Splits,Taj Gibson,23,1,9.0,3.5,0.5,1.0,1.6,0.5,0.4,0.3,0.5,1.8,1.1
12,WASHINGTON WIZARDS,Player Stats - All Splits,Anthony Gill,32,4,9.5,2.6,0.5,0.8,1.3,0.4,0.2,0.2,0.2,1.2,2.8
13,WASHINGTON WIZARDS,Player Stats - All Splits,Jordan Schakel,2,0,3.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,INF
14,WASHINGTON WIZARDS,Player Stats - All Splits,Johnny Davis,10,0,5.0,1.1,0.1,0.6,0.7,0.2,0.0,0.1,0.1,1.2,2.0
15,WASHINGTON WIZARDS,Player Stats - All Splits,Devon Dotson,6,0,8.8,0.5,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,2.7
16,WASHINGTON WIZARDS,Player Stats - All Splits,Isaiah Todd,4,0,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,WASHINGTON WIZARDS,Player Stats - All Splits,Vernon Carey Jr.,7,0,2.1,0.3,0.1,0.6,0.7,0.1,0.1,0.3,0.3,0.3,0.5
