,TEAM_NAME,TABLE_TYPE,NAME,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
0,WASHINGTON WIZARDS,Shooting Stats - All Splits,Bradley Beal,8.6,16.4,52.5,1.5,4.4,34.0,4.1,4.8,86.1,7.1,12.0,59.4,1.393,0.57
1,WASHINGTON WIZARDS,Shooting Stats - All Splits,Kristaps Porzingis,7.3,15.4,47.6,1.8,5.3,32.8,5.6,6.9,80.7,5.6,10.0,55.4,1.429,0.53
2,WASHINGTON WIZARDS,Shooting Stats - All Splits,Kyle Kuzma,8.2,17.8,46.1,2.4,7.2,33.7,2.5,3.6,70.5,5.8,10.6,54.6,1.200,0.53
3,WASHINGTON WIZARDS,Shooting Stats - All Splits,Rui Hachimura,5.3,10.5,50.6,1.0,2.6,37.1,1.6,2.2,75.0,4.3,7.9,55.0,1.259,0.55
4,WASHINGTON WIZARDS,Shooting Stats - All Splits,Monte Morris,3.7,8.2,45.5,1.3,3.4,37.3,1.0,1.3,76.6,2.5,4.9,51.2,1.188,0.53
5,WASHINGTON WIZARDS,Shooting Stats - All Splits,Corey Kispert,3.3,7.0,48.0,1.7,4.2,40.7,1.1,1.3,81.0,1.6,2.8,59.1,1.359,0.60
6,WASHINGTON WIZARDS,Shooting Stats - All Splits,Deni Avdija,3.0,6.9,43.2,0.9,3.0,28.9,1.4,1.8,80.6,2.1,3.9,54.0,1.193,0.49
7,WASHINGTON WIZARDS,Shooting Stats - All Splits,Will Barton,2.8,7.4,37.6,1.3,3.6,36.5,0.9,1.1,78.9,1.5,3.8,38.6,1.047,0.47
8,WASHINGTON WIZARDS,Shooting Stats - All Splits,Daniel Gafford,3.2,4.3,74.7,0.0,0.0,0.0,1.3,2.1,58.8,3.2,4.3,74.7,1.788,0.75
9,WASHINGTON WIZARDS,Shooting Stats - All Splits,Jordan Goodwin,2.7,5.7,48.3,0.7,1.7,39.6,0.8,1.1,74.3,2.1,4.0,52.0,1.233,0.54
10,WASHINGTON WIZARDS,Shooting Stats - All Splits,Delon Wright,1.9,4.9,38.9,0.5,2.4,23.1,1.2,1.5,81.3,1.4,2.5,53.6,1.130,0.44
11,WASHINGTON WIZARDS,Shooting Stats - All Splits,Taj Gibson,1.3,2.5,53.4,0.1,0.6,23.1,0.7,0.9,75.0,1.2,2.0,62.2,1.379,0.56
12,WASHINGTON WIZARDS,Shooting Stats - All Splits,Anthony Gill,1.0,1.8,58.9,0.1,0.4,14.3,0.4,0.5,82.4,1.0,1.3,73.8,1.464,0.61
13,WASHINGTON WIZARDS,Shooting Stats - All Splits,Jordan Schakel,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.0,1.500,0.75
14,WASHINGTON WIZARDS,Shooting Stats - All Splits,Johnny Davis,0.4,1.3,30.8,0.0,0.3,0.0,0.3,0.3,100.0,0.4,1.0,40.0,0.846,0.31
15,WASHINGTON WIZARDS,Shooting Stats - All Splits,Devon Dotson,0.2,1.7,10.0,0.2,0.7,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.300,0.15
16,WASHINGTON WIZARDS,Shooting Stats - All Splits,Isaiah Todd,0.3,1.0,25.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.500,0.25
17,WASHINGTON WIZARDS,Shooting Stats - All Splits,Vernon Carey Jr.,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,33.3,0.667,0.33
